scenario,profile,seeds,coverage_mean,coverage_median,coverage_min,coverage_max,qualified_coverage_mean,qualified_coverage_median,qualified_coverage_min,qualified_coverage_max,pps_mean,pps_median,pps_min,pps_max,qos_violation_rate_mean,qos_violation_rate_median,qos_violation_rate_min,qos_violation_rate_max,ir_violation_rate_mean,ir_violation_rate_median,ir_violation_rate_min,ir_violation_rate_max,design_ceiling_residual_mean,design_ceiling_residual_median,design_ceiling_residual_min,design_ceiling_residual_max,assigned_total,qualified_total,qos_violations_total,ir_violations_total,target_violations_total,settlement_over_available_budget_slots_total,slots_settlement_exceeds_reservation_total,design_ceiling_residual_total,information_mismatches_total,certificate_failures_total,pooled_qos_violation_rate,cells_violated_observed
down_step,fixed_envelope,29,0.5303009721925757,0.5272931907709623,0.5137872819358469,0.5576814856499719,0.5303009721925757,0.5272931907709623,0.5137872819358469,0.5576814856499719,0.589504377789562,0.569695571271507,0.4980013499746358,0.7147932209459033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27328,27328,0,0,0,0,0,0,0,0,0.0,0
down_step,frozen_point,29,0.7779869210020763,0.7788407428249859,0.7597073719752392,0.8002250984805852,0.630275745638717,0.6297129994372538,0.6094541361845808,0.6539110861001688,0.29620089452886184,0.2866387710427907,0.247978806155813,0.3736740940741909,0.1898602427577964,0.1903367496339678,0.1640058055152394,0.2073699421965318,5.0673664671210345e-05,0.0,0.0,0.0007380073800738,0.0,0.0,0.0,0.0,40092,32480,7612,2,0,0,0,0,0,0,0.18986331437693305,29
stable,fixed_envelope,29,0.5303009721925757,0.5272931907709623,0.5137872819358469,0.5576814856499719,0.5303009721925757,0.5272931907709623,0.5137872819358469,0.5576814856499719,0.6143000128268274,0.5940631772149779,0.5186272002366633,0.7456855283685225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27328,27328,0,0,0,0,0,0,0,0,0.0,0
stable,frozen_point,29,0.7779869210020763,0.7788407428249859,0.7597073719752392,0.8002250984805852,0.7779869210020763,0.7788407428249859,0.7597073719752392,0.8002250984805852,0.31165296647997953,0.3012792130747793,0.2607005534515611,0.3940928236059582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40092,40092,0,0,0,0,0,0,0,0,0.0,0
up_step,fixed_envelope,29,0.5303009721925757,0.5272931907709623,0.5137872819358469,0.5576814856499719,0.5303009721925757,0.5272931907709623,0.5137872819358469,0.5576814856499719,0.6251827630237362,0.6048252324112865,0.527702081412084,0.7593398623172715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27328,27328,0,0,0,0,0,0,0,0,0.0,0
up_step,frozen_point,29,0.7779869210020763,0.7788407428249859,0.7597073719752392,0.8002250984805852,0.7779869210020763,0.7788407428249859,0.7597073719752392,0.8002250984805852,0.31608333113271814,0.305431235637119,0.2644420568192598,0.3999920302857785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40092,40092,0,0,21783,0,7183,0,0,0,0.0,29
