scenario,n_pairs,mean_decision_fee_saving_percent,ci95_low_decision_fee_saving_percent,ci95_high_decision_fee_saving_percent,std_decision_fee_saving_percent,min_decision_fee_saving_percent,max_decision_fee_saving_percent,positive_decision_fee_saving_percent_count,mean_decision_fee_per_service_saving_percent,ci95_low_decision_fee_per_service_saving_percent,ci95_high_decision_fee_per_service_saving_percent,std_decision_fee_per_service_saving_percent,min_decision_fee_per_service_saving_percent,max_decision_fee_per_service_saving_percent,positive_decision_fee_per_service_saving_percent_count,mean_payment_saving_percent,ci95_low_payment_saving_percent,ci95_high_payment_saving_percent,std_payment_saving_percent,min_payment_saving_percent,max_payment_saving_percent,positive_payment_saving_percent_count,mean_pps_saving_percent,ci95_low_pps_saving_percent,ci95_high_pps_saving_percent,std_pps_saving_percent,min_pps_saving_percent,max_pps_saving_percent,positive_pps_saving_percent_count,mean_coverage_delta_pp,ci95_low_coverage_delta_pp,ci95_high_coverage_delta_pp,std_coverage_delta_pp,min_coverage_delta_pp,max_coverage_delta_pp,positive_coverage_delta_pp_count,mean_qualified_coverage_delta_pp,ci95_low_qualified_coverage_delta_pp,ci95_high_qualified_coverage_delta_pp,std_qualified_coverage_delta_pp,min_qualified_coverage_delta_pp,max_qualified_coverage_delta_pp,positive_qualified_coverage_delta_pp_count,mean_mean_quality_delta,ci95_low_mean_quality_delta,ci95_high_mean_quality_delta,std_mean_quality_delta,min_mean_quality_delta,max_mean_quality_delta,positive_mean_quality_delta_count
stationary,30,14.502715948799498,14.10666769975887,14.920869304273456,1.1624497397681723,12.057220365100505,17.30245311532747,30,14.502715948799498,14.103219524413596,14.921366334007688,1.1624497397681737,12.0572203651005,17.302453115327477,30,14.543604138161545,14.138491262912632,14.961892454761461,1.162186032582169,12.111276842325942,17.34046625493198,30,14.543604138161546,14.136356693081723,14.957004431844332,1.1621860325821707,12.11127684232594,17.34046625493198,30,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.000383173937011716,-0.0004019132124541544,-0.00036526439495371043,5.1617003423495215e-05,-0.0005427918748671656,-0.00025986683773238095,0
burst,30,16.2305451055024,15.824450817520173,16.63780024069856,1.178096767508896,13.68370503374503,19.0939253469038,30,16.2305451055024,15.820835110787938,16.647236977603345,1.1780967675088965,13.68370503374503,19.093925346903795,30,16.270872261143783,15.859006287026023,16.688541296176865,1.1778695542743727,13.734551916287508,19.132548669840514,30,16.27087226114379,15.861106784829822,16.69281813761518,1.1778695542743742,13.734551916287506,19.13254866984054,30,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.00037804755302801955,-0.0004037377587051767,-0.000356764574486589,6.707786135606626e-05,-0.0006233887527752335,-0.00027893029238257316,0
dynamic,30,15.088664969032324,14.6697341516837,15.510382903255964,1.193685706406049,12.499735557172501,18.02273618141869,30,15.088664969032326,14.679715444203014,15.517600531111302,1.1936857064060504,12.499735557172501,18.0227361814187,30,15.12883008217639,14.720268384241773,15.547991381330634,1.1931968737795478,12.549516284256972,18.06038308909665,30,15.128830082176394,14.715717077532453,15.55220722184072,1.1931968737795504,12.549516284256974,18.06038308909668,30,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.00035017268936850715,-0.00037258254547103465,-0.00032919173393473915,6.199126701654707e-05,-0.0005282261436401203,-0.00023490807737114316,0
