cell_id,seed,method,original_stage,workload,magnitude,duration,heterogeneity,qos,assigned,tasks,payment,pps,coverage,qualified_coverage,quality_violations,deadline_violations,qos_violations,qos_violation_rate,target_violations,ir_violations,design_reserve,reserve_over_budget_slots,settlement_over_reserve_slots,settlement_over_budget_slots,diagnostic_status,execution_status,instrumented_runtime_s,candidate_graph_sha256,window_phase_sha256,config_sha256
E7C002,6,MOI,screening,medium,0.75,20,medium,strict,1621,2464,443.43522678980025,0.27355658654521914,0.6578733766233766,0.6578733766233766,0,0,0,0.0,0,0,443.43522678980025,0,0,0,ok,completed,3.5938811000005444,946035e9be2addf721a815cd2b9a051dff9265f5deb6140d693eee9a431839fc,11cb1d2cc52ef078d70aba72f90a0ee04eadee8f538c44070cab74678943ea17,840844d7ad8862bb7733d8271ad093f58720d3ce425b643739eecbbbac724bbc
E7C002,6,PASI,screening,medium,0.75,20,medium,strict,1621,2464,437.79413778650655,0.27007658099105897,0.6578733766233766,0.6578733766233766,0,0,0,0.0,0,0,437.79413778650655,0,0,0,ok,completed,3.5824139000005744,946035e9be2addf721a815cd2b9a051dff9265f5deb6140d693eee9a431839fc,11cb1d2cc52ef078d70aba72f90a0ee04eadee8f538c44070cab74678943ea17,840844d7ad8862bb7733d8271ad093f58720d3ce425b643739eecbbbac724bbc
E7C002,7,MOI,screening,medium,0.75,20,medium,strict,1630,2464,409.18045508057673,0.25103095403716363,0.661525974025974,0.661525974025974,0,0,0,0.0,0,0,409.18045508057673,0,0,0,ok,completed,3.6553235000001223,66a1dabb1c578246ff41f5507e00f5385f498dfe0996ab8076b5045cf229b8a4,743a26a15c4e74c6298bfab744dedc3455ab63886040084903705f73a56f26e1,6c762a6ada963f118717b0a91cdebabb550c4ffd606367e5e087e99bb4971ccb
E7C002,7,PASI,screening,medium,0.75,20,medium,strict,1630,2464,404.5207718423789,0.24817225266403614,0.661525974025974,0.661525974025974,0,0,0,0.0,0,0,404.5207718423789,0,0,0,ok,completed,3.6552638000002844,66a1dabb1c578246ff41f5507e00f5385f498dfe0996ab8076b5045cf229b8a4,743a26a15c4e74c6298bfab744dedc3455ab63886040084903705f73a56f26e1,6c762a6ada963f118717b0a91cdebabb550c4ffd606367e5e087e99bb4971ccb
E7C002,8,MOI,screening,medium,0.75,20,medium,strict,1703,2464,512.6006554457133,0.3009986232799256,0.6911525974025974,0.6911525974025974,0,0,0,0.0,0,0,512.6006554457133,0,0,0,ok,completed,3.6399493999997503,3ef71d6b5b3de753cdb418012bc0d13fe5bea52bc8e2465fee6ca58713ce5b1a,03477e9b5e7807e00eed284eb79c3662d8792fcbfa50a802900cdd4df9a90a23,1baa5f447467d4269cbc521e3226826996b0a5f49d293e11622dd7971c1be7bd
E7C002,8,PASI,screening,medium,0.75,20,medium,strict,1703,2464,506.8066186520294,0.2975963703182791,0.6911525974025974,0.6911525974025974,0,0,0,0.0,0,0,506.8066186520294,0,0,0,ok,completed,3.6388028000001214,3ef71d6b5b3de753cdb418012bc0d13fe5bea52bc8e2465fee6ca58713ce5b1a,03477e9b5e7807e00eed284eb79c3662d8792fcbfa50a802900cdd4df9a90a23,1baa5f447467d4269cbc521e3226826996b0a5f49d293e11622dd7971c1be7bd
E7C002,9,MOI,screening,medium,0.75,20,medium,strict,1654,2464,552.253823507336,0.33388985701773644,0.6712662337662337,0.6712662337662337,0,0,0,0.0,0,0,552.253823507336,0,0,0,ok,completed,3.6061879999997473,f4292d060ea4095cd4a251074581960f5216aa080dd253380130be1fa49e5845,ed621ecb1233543fcbc3c2f9d986dc598487aea5a586b8bb72eacf55cddb9601,e81815f7b9900fb421255f4446d715efbed95423d1b63d2ecb9b1b49d0c0e674
E7C002,9,PASI,screening,medium,0.75,20,medium,strict,1654,2464,548.3126071179731,0.3315070176045787,0.6712662337662337,0.6712662337662337,0,0,0,0.0,0,0,548.3126071179731,0,0,0,ok,completed,3.6213502000000517,f4292d060ea4095cd4a251074581960f5216aa080dd253380130be1fa49e5845,ed621ecb1233543fcbc3c2f9d986dc598487aea5a586b8bb72eacf55cddb9601,e81815f7b9900fb421255f4446d715efbed95423d1b63d2ecb9b1b49d0c0e674
E7C002,10,MOI,screening,medium,0.75,20,medium,strict,1647,2464,443.0030776363783,0.2689757605563924,0.6684253246753247,0.6684253246753247,0,0,0,0.0,0,0,443.0030776363783,0,0,0,ok,completed,3.3695519000002605,39fb39cff2f581164b297c9583e6c363cfa52d5de3808a2d23774f98ce3ee5a8,9c60b9e25328b057cf6a4dd4974b802aa788ec4fc8637aaf005ce5cbe082d122,713050120767c3630aa3574a17a37ee7a9bc21147232318096340a0149fedcc4
E7C002,10,PASI,screening,medium,0.75,20,medium,strict,1647,2464,438.39090281162373,0.2661754115431838,0.6684253246753247,0.6684253246753247,0,0,0,0.0,0,0,438.39090281162373,0,0,0,ok,completed,3.4162531000001763,39fb39cff2f581164b297c9583e6c363cfa52d5de3808a2d23774f98ce3ee5a8,9c60b9e25328b057cf6a4dd4974b802aa788ec4fc8637aaf005ce5cbe082d122,713050120767c3630aa3574a17a37ee7a9bc21147232318096340a0149fedcc4
