workload,method,n,mean_pps,pps_ci_low,pps_ci_high,mean_payment,payment_ci_low,payment_ci_high,mean_coverage,coverage_ci_low,coverage_ci_high,mean_qualified_coverage,qualified_coverage_ci_low,qualified_coverage_ci_high,mean_mean_quality,mean_quality_ci_low,mean_quality_ci_high,mean_qos_violation_rate,qos_violation_rate_ci_low,qos_violation_rate_ci_high,total_tasks,total_assigned,total_qualified,total_quality_violations,total_deadline_violations,total_qos_violations,total_ir_violations,total_target_violations,total_slots_reserve_exceeds_budget,total_slots_settlement_exceeds_reserve,total_slots_settlement_exceeds_budget,pooled_qos_violation_rate
low,MOI,30,0.34417923339950135,0.33439115117845086,0.3543008431227944,356.29993978067273,346.28546594529416,366.5006064034389,0.8585129906025429,0.855444997236042,0.8616639027086788,0.8585129906025429,0.855444997236042,0.8616639027086788,0.866644783271966,0.86619587765856,0.8671089636149578,0.0,0.0,0.0,36180,31061,31061,0,0,0,0,0,0,0,0,0.0
low,PASI,30,0.30121771901466027,0.29061235942143265,0.31215454100408363,311.81938702128224,301.02715843995173,322.8917705998987,0.8585129906025429,0.855444997236042,0.8616639027086788,0.8585129906025429,0.855444997236042,0.8616639027086788,0.8666761345697094,0.8662164409805478,0.867158261977285,0.0,0.0,0.0,36180,31061,31061,0,0,0,0,0,0,0,0,0.0
medium,MOI,30,0.3567038271980575,0.34657292274113216,0.3675408807979104,686.437249247158,666.8913444889872,707.52631176367,0.7809929653679654,0.777922077922078,0.7841856060606058,0.7809929653679654,0.777922077922078,0.7841856060606058,0.8663530347318503,0.8659478371206369,0.8667792395712511,0.0,0.0,0.0,73920,57731,57731,0,0,0,0,0,0,0,0,0.0
medium,PASI,30,0.31007009389628787,0.29852435431418634,0.32237795771676236,596.7152559606744,574.517778815907,620.7032545981432,0.7809929653679654,0.777922077922078,0.7841856060606058,0.7809929653679654,0.777922077922078,0.7841856060606058,0.866469692430564,0.8660532454598886,0.8669093619827652,0.0,0.0,0.0,73920,57731,57731,0,0,0,0,0,0,0,0,0.0
high,MOI,30,0.36250623911736995,0.3522979076011058,0.373081531528273,905.5202607103985,879.79527293459,931.8872559200965,0.707410554139526,0.7055885962428019,0.7092608326253185,0.707410554139526,0.7055885962428019,0.7092608326253185,0.8663966205159642,0.8660249095277462,0.8667658523716543,0.0,0.0,0.0,105930,74936,74936,0,0,0,0,0,0,0,0,0.0
high,PASI,30,0.31573844620959396,0.30412210219723224,0.3279149898211896,788.6721584005697,759.8017416356203,818.7913823541331,0.707410554139526,0.7055885962428019,0.7092608326253185,0.707410554139526,0.7055885962428019,0.7092608326253185,0.8666899050662569,0.8663149427818773,0.8670568329479549,0.0,0.0,0.0,105930,74936,74936,0,0,0,0,0,0,0,0,0.0
