workload,seed,method,tasks,assigned,qualified,coverage,qualified_coverage,payment,pps,mean_quality,high_quality_rate,platform_utility,quality_violations,deadline_violations,qos_violations,qos_violation_rate,target_violations,ir_violations,design_reserve,available_budget,slots_reserve_exceeds_budget,slots_settlement_exceeds_reserve,slots_settlement_exceeds_budget,candidate_rows,spatial_candidate_rows,legal_rows,spatial_graph_sha256,config_sha256,mean_runtime_state,diagnostic_status,instrumented_runtime_s,core_protocol_version,decision_cost_basis
high,6,MOI,3531,2523,2523,0.7145284621920136,0.7145284621920136,863.4387932591585,0.3422270286401738,0.866066133455945,0.8707887435592548,5762.080051394288,0,0,0,0.0,0,0,863.4387932591585,7953.303198377519,0,0,0,23496,6973,6201,2e819b4fd88809fe30a8e26b180554e99e1dc9845ddda4dd3314189e44d73369,b46386f1d41e82b0659b185f8192a6d44ce4749075cddf13cf1a0d251d705234,0.8221531876397927,ok,3.736401100002695,r51-free-action-design-only-v1,design_expected_payment
high,6,PASI,3531,2523,2523,0.7145284621920136,0.7145284621920136,709.3091492318734,0.28113719747597044,0.866303373222268,0.8727705112960761,5912.2754645178575,0,0,0,0.0,0,0,709.3091492318734,7953.303198377519,0,0,0,23496,6973,6201,2e819b4fd88809fe30a8e26b180554e99e1dc9845ddda4dd3314189e44d73369,b46386f1d41e82b0659b185f8192a6d44ce4749075cddf13cf1a0d251d705234,0.8220451559187397,ok,3.7738500999985263,r51-free-action-design-only-v1,design_expected_payment
high,7,MOI,3531,2484,2484,0.703483432455395,0.703483432455395,746.625675098708,0.3005739432764525,0.865168836390477,0.856280193236715,5798.6790272863,0,0,0,0.0,0,0,746.625675098708,7975.040676059589,0,0,0,23496,6887,6102,a4a74c297dd7facbcadc3f2bfea242294af7bea2cb4a29c627d99e29a9dfb6e7,69a4b8ef438f5a10a35246f35c3cbf2b4ad6ea46640a19f2d40f96ccb49db7cc,0.818710850183172,ok,3.793182199995499,r51-free-action-design-only-v1,design_expected_payment
high,7,PASI,3531,2484,2484,0.703483432455395,0.703483432455395,626.2738022967294,0.25212310881510847,0.8655082170464891,0.857487922705314,5910.266641759552,0,0,0,0.0,0,0,626.2738022967294,7975.040676059589,0,0,0,23496,6887,6102,a4a74c297dd7facbcadc3f2bfea242294af7bea2cb4a29c627d99e29a9dfb6e7,69a4b8ef438f5a10a35246f35c3cbf2b4ad6ea46640a19f2d40f96ccb49db7cc,0.81779566558449,ok,3.783788300002925,r51-free-action-design-only-v1,design_expected_payment
high,8,MOI,3531,2541,2541,0.719626168224299,0.719626168224299,930.369854560787,0.3661431934517068,0.8663358874283725,0.8591105863833136,5734.864495299987,0,0,0,0.0,0,0,930.369854560787,7912.833095683789,0,0,0,23496,6964,6182,2e4d842490f744be05f504ad4e589f453696f55663201363d55bb7b564314928,31a063f4e91f8dfdd932c9ca14da59f3d1c0fcc6f1473c64d21fafaaa2941b66,0.8260133729509318,ok,3.7219842999984394,r51-free-action-design-only-v1,design_expected_payment
high,8,PASI,3531,2541,2541,0.719626168224299,0.719626168224299,789.5089674720455,0.3107079761794748,0.866831101714459,0.8606847697756789,5865.253610342905,0,0,0,0.0,0,0,789.5089674720455,7912.833095683789,0,0,0,23496,6964,6182,2e4d842490f744be05f504ad4e589f453696f55663201363d55bb7b564314928,31a063f4e91f8dfdd932c9ca14da59f3d1c0fcc6f1473c64d21fafaaa2941b66,0.8265906002160074,ok,3.726874499996484,r51-free-action-design-only-v1,design_expected_payment
high,9,MOI,3531,2494,2494,0.7063154913622204,0.7063154913622204,1007.2275597944708,0.4038602886104534,0.8675447805291479,0.8785084202085004,5508.337625326227,0,0,0,0.0,0,0,1007.2275597944708,7889.860852122323,0,0,0,23496,6921,6090,05644c349dadd2679e3020242271f6c70707fe1f74822a0aab58fe3b5ac86b1b,7b7fbed8537bf8f5929734d89786c468c99d6c30d5aa6095b1ef9d3c5b4ecd83,0.8275957382634166,ok,3.7964910000009695,r51-free-action-design-only-v1,design_expected_payment
high,9,PASI,3531,2494,2494,0.7063154913622204,0.7063154913622204,854.7103543427188,0.3427066376674895,0.8679696543648258,0.880112269446672,5653.170332123573,0,0,0,0.0,0,0,854.7103543427188,7889.860852122323,0,0,0,23496,6921,6090,05644c349dadd2679e3020242271f6c70707fe1f74822a0aab58fe3b5ac86b1b,7b7fbed8537bf8f5929734d89786c468c99d6c30d5aa6095b1ef9d3c5b4ecd83,0.826926475452069,ok,3.787247299995215,r51-free-action-design-only-v1,design_expected_payment
high,10,MOI,3531,2501,2501,0.708297932596998,0.708297932596998,814.3842410861423,0.3256234470556347,0.8671776014177942,0.8660535785685726,5711.547457919197,0,0,0,0.0,0,0,814.3842410861423,7895.696114474589,0,0,0,23496,6996,6256,ae2f818058c1f2abf5435b1a214d3adaed90fbe8b8524612ee7f9075b830725b,7907fe46a276bfe1cb270a414ff5a76283d3516b509355cee861425a99b9a63e,0.8159035122443187,ok,3.681719299995166,r51-free-action-design-only-v1,design_expected_payment
high,10,PASI,3531,2501,2501,0.708297932596998,0.708297932596998,697.8887505496432,0.2790438826667906,0.867452467856819,0.8668532586965214,5822.51079799844,0,0,0,0.0,0,0,697.8887505496432,7895.696114474589,0,0,0,23496,6996,6256,ae2f818058c1f2abf5435b1a214d3adaed90fbe8b8524612ee7f9075b830725b,7907fe46a276bfe1cb270a414ff5a76283d3516b509355cee861425a99b9a63e,0.8157174176150277,ok,3.8192649999982677,r51-free-action-design-only-v1,design_expected_payment
high,11,MOI,3531,2474,2474,0.7006513735485698,0.7006513735485698,839.8290091155303,0.3394620085349759,0.8666774344299205,0.8637833468067906,5646.249314602261,0,0,0,0.0,0,0,839.8290091155303,7950.017844416936,0,0,0,23496,7003,6143,1dc5d8d83c4ff7f26667a371d655b4dba6d74adf688f0f6888c0ba104d87df45,adefaa37c4140900543fc8a1ae20fcaf8f7fdde0b1305f47b90249d77bc680b3,0.8157040311601963,ok,3.776539300000877,r51-free-action-design-only-v1,design_expected_payment
high,11,PASI,3531,2474,2474,0.7006513735485698,0.7006513735485698,729.5281289101686,0.2948779825829299,0.8668728010480952,0.8641875505254648,5751.366959030035,0,0,0,0.0,0,0,729.5281289101686,7950.017844416936,0,0,0,23496,7003,6143,1dc5d8d83c4ff7f26667a371d655b4dba6d74adf688f0f6888c0ba104d87df45,adefaa37c4140900543fc8a1ae20fcaf8f7fdde0b1305f47b90249d77bc680b3,0.815704323940978,ok,3.768578200004413,r51-free-action-design-only-v1,design_expected_payment
high,12,MOI,3531,2504,2504,0.7091475502690456,0.7091475502690456,926.2356971141636,0.36990243494974584,0.867844421236031,0.8738019169329073,5592.7747634895495,0,0,0,0.0,0,0,926.2356971141636,7891.564101438458,0,0,0,23496,6849,6108,141971c4c9f87dcd134fd815fdf20a03c64a66303785cd229689f296e00e5f36,e1daf8aee2a6610d4860a905514766ffce24b028bce48fe9aa26c10721ab9e9e,0.8205244229174988,ok,3.5461058000000776,r51-free-action-design-only-v1,design_expected_payment
high,12,PASI,3531,2504,2504,0.7091475502690456,0.7091475502690456,808.0558118871876,0.32270599516261483,0.8680328962881881,0.8742012779552716,5705.522978437342,0,0,0,0.0,0,0,808.0558118871876,7891.564101438458,0,0,0,23496,6849,6108,141971c4c9f87dcd134fd815fdf20a03c64a66303785cd229689f296e00e5f36,e1daf8aee2a6610d4860a905514766ffce24b028bce48fe9aa26c10721ab9e9e,0.8201585249372445,ok,3.655073900001298,r51-free-action-design-only-v1,design_expected_payment
high,13,MOI,3531,2499,2499,0.707731520815633,0.707731520815633,1076.3539567702494,0.4307138682554019,0.866211250521193,0.867547018807523,5528.866823146263,0,0,0,0.0,0,0,1076.3539567702494,8005.966816546171,0,0,0,23496,6882,6084,9074fe90fcb9cc353470b45d003d201b6fcb043506454aab79686b78c76659f3,cee735490254ab1902f096745908e9a9533250c04c3d2dfddd3bd2585cc19411,0.831706726212703,ok,3.629338300001109,r51-free-action-design-only-v1,design_expected_payment
high,13,PASI,3531,2499,2499,0.707731520815633,0.707731520815633,982.5153170391442,0.39316339217252666,0.866383640902,0.867547018807523,5615.922529380616,0,0,0,0.0,0,0,982.5153170391442,8005.966816546171,0,0,0,23496,6882,6084,9074fe90fcb9cc353470b45d003d201b6fcb043506454aab79686b78c76659f3,cee735490254ab1902f096745908e9a9533250c04c3d2dfddd3bd2585cc19411,0.8311875497452725,ok,3.6202847999957157,r51-free-action-design-only-v1,design_expected_payment
high,14,MOI,3531,2497,2497,0.7071651090342679,0.7071651090342679,831.9516507201864,0.33318047686030694,0.8660081596715282,0.8730476571886263,5753.811485053767,0,0,0,0.0,0,0,831.9516507201864,7994.818562051611,0,0,0,23496,6900,6014,27e53d29734b221c9bac3a41c68ba0d735e45a596930c2c9ca7853d54b2b9f75,0a0db1fbaf9bbd88643a989bdf818b0837a5666712e39ef2737aaf5aef7fd938,0.8246093256628798,ok,3.746560799998406,r51-free-action-design-only-v1,design_expected_payment
high,14,PASI,3531,2497,2497,0.7071651090342679,0.7071651090342679,733.7491993576751,0.29385230250607736,0.8663326540423185,0.8750500600720865,5845.7458115417485,0,0,0,0.0,0,0,733.7491993576751,7994.818562051611,0,0,0,23496,6900,6014,27e53d29734b221c9bac3a41c68ba0d735e45a596930c2c9ca7853d54b2b9f75,0a0db1fbaf9bbd88643a989bdf818b0837a5666712e39ef2737aaf5aef7fd938,0.8247657740299316,ok,3.791047900005651,r51-free-action-design-only-v1,design_expected_payment
high,15,MOI,3531,2490,2490,0.7051826677994902,0.7051826677994902,1025.6107903987383,0.41189188369427243,0.8651127580045846,0.8582329317269076,5518.202324326336,0,0,0,0.0,0,0,1025.6107903987383,7964.525069253245,0,0,0,23496,6982,6212,ab50d6d16b442b10180b2ee2f4953e9e66ff1d97c5c57a09b308c23e6d74368e,974cd37d855d1ffe881aa21fd28b66cfabbf70bbc9e2e00939e90b0af5081c17,0.8096856183584986,ok,3.811122400002205,r51-free-action-design-only-v1,design_expected_payment
high,15,PASI,3531,2490,2490,0.7051826677994902,0.7051826677994902,947.6056697341821,0.3805645259976635,0.8651433712016936,0.8582329317269076,5593.570350349937,0,0,0,0.0,0,0,947.6056697341821,7964.525069253245,0,0,0,23496,6982,6212,ab50d6d16b442b10180b2ee2f4953e9e66ff1d97c5c57a09b308c23e6d74368e,974cd37d855d1ffe881aa21fd28b66cfabbf70bbc9e2e00939e90b0af5081c17,0.8097311597461814,ok,3.8190811000022222,r51-free-action-design-only-v1,design_expected_payment
high,16,MOI,3531,2507,2507,0.7099971679410931,0.7099971679410931,966.8116830823424,0.38564486760364675,0.8673859707460191,0.8747506980454727,5602.600992391617,0,0,0,0.0,0,0,966.8116830823424,7941.058670738163,0,0,0,23496,6946,6138,2751157e1905b0b1f79d85004bf8e9c476772c898e43bfe8d4a914d9e24c5d53,6eb7d8ce64862783daaf02f3547ea84f45f958d4e9172dcc792a9da63d215a87,0.8220011200117125,ok,3.8453970000045956,r51-free-action-design-only-v1,design_expected_payment
