scenario,N,M,seed,method,core_time_s,assigned,execution_settlement,coverage_first_calls,solver_counts,event_fingerprints,ir_violations,target_violations,legacy_core_time_s_median,current_over_legacy_ratio
burst,50,40,1,MOI,14.870418699996662,27309,15861.674914436511,1000,"{""full_cardinality_hungarian_exact"": 201, ""k_cardinality_hungarian_exact"": 799}","{""provider_static"": ""1e8240e36656de6de3b74e4d328610cdeabc8b3da82e9c788991e2630cce9046"", ""providers"": ""9247196da75b789a91f899b730bd1b2631968077c408a8d2d4f4eeb0a8ba1045"", ""tasks"": ""c95412ff4673a0ba459199b4efb4da1375a0ac74cf28b9c36416adef6c33023a""}",0,0,13.092455900000004,1.1358005567157692
burst,50,40,1,PASI,14.962041200007661,27309,13366.615938826573,1000,"{""full_cardinality_hungarian_exact"": 201, ""k_cardinality_hungarian_exact"": 799}","{""provider_static"": ""1e8240e36656de6de3b74e4d328610cdeabc8b3da82e9c788991e2630cce9046"", ""providers"": ""9247196da75b789a91f899b730bd1b2631968077c408a8d2d4f4eeb0a8ba1045"", ""tasks"": ""c95412ff4673a0ba459199b4efb4da1375a0ac74cf28b9c36416adef6c33023a""}",0,0,13.5684984,1.10270427566308
burst,100,80,1,MOI,46.32421260001138,54738,32084.206798503776,1000,"{""full_cardinality_hungarian_exact"": 196, ""k_cardinality_hungarian_exact"": 804}","{""provider_static"": ""49e6461538feeda618ad7e5b85ca2067747ec850648a87b9a5e1496584aa4f8d"", ""providers"": ""e4d9421cb32ae6bfe083fe25acf75b01ed96d424b02c120904121af65c0c8db3"", ""tasks"": ""62479d10c045411fbe5cef329541fc035c1ccf501c3542953dcfcff503b2a54c""}",0,0,33.07705790000003,1.4004937422203847
burst,100,80,1,PASI,65.524728400007,54738,26858.51502754869,1000,"{""full_cardinality_hungarian_exact"": 196, ""k_cardinality_hungarian_exact"": 804}","{""provider_static"": ""49e6461538feeda618ad7e5b85ca2067747ec850648a87b9a5e1496584aa4f8d"", ""providers"": ""e4d9421cb32ae6bfe083fe25acf75b01ed96d424b02c120904121af65c0c8db3"", ""tasks"": ""62479d10c045411fbe5cef329541fc035c1ccf501c3542953dcfcff503b2a54c""}",0,0,33.96238020000002,1.9293326325817108
burst,200,160,1,MOI,251.25718040000356,109281,60465.24886808348,1000,"{""full_cardinality_hungarian_exact"": 196, ""k_cardinality_hungarian_exact"": 804}","{""provider_static"": ""1f7063a7bc69a4573c7e29201ab0087946f1f2a23ea64ed1007aa32a40678a20"", ""providers"": ""3826eb69d273b5d231f924f9faa735c479fdd207c10e380ad3f842fc3faaf0d8"", ""tasks"": ""505f1ebad9f9ba9f3ea5f164b8ca8e9aee524f8a6b2bde42eddc0bb68f2a0d1d""}",0,0,120.06249300000022,2.09272000040848
burst,200,160,1,PASI,243.71902150000096,109281,49812.253636735564,1000,"{""full_cardinality_hungarian_exact"": 196, ""k_cardinality_hungarian_exact"": 804}","{""provider_static"": ""1f7063a7bc69a4573c7e29201ab0087946f1f2a23ea64ed1007aa32a40678a20"", ""providers"": ""3826eb69d273b5d231f924f9faa735c479fdd207c10e380ad3f842fc3faaf0d8"", ""tasks"": ""505f1ebad9f9ba9f3ea5f164b8ca8e9aee524f8a6b2bde42eddc0bb68f2a0d1d""}",0,0,116.50265069999982,2.091961170287788
dynamic,25,20,1,MOI,8.083990599989193,12430,8962.772658595886,1000,"{""full_cardinality_hungarian_exact"": 180, ""k_cardinality_hungarian_exact"": 405, ""small_subset_or_empty"": 415}","{""provider_static"": ""b66313b49f29f9d2bda17eba417599fdecd2be6d3ba72ccded4211933270a273"", ""providers"": ""1eb9d785ea4ca5f7a44edc66812aecbb2b333fce7d2d414d9aedada2f89c2730"", ""tasks"": ""a6d8ade2d9fbc195c35e6b6477e34858adfda80ee07f405376fb5a66f4038ea2""}",0,0,7.9435569000000035,1.017678944301285
dynamic,25,20,1,PASI,9.987708600005135,12430,7729.91816073791,1000,"{""full_cardinality_hungarian_exact"": 180, ""k_cardinality_hungarian_exact"": 405, ""small_subset_or_empty"": 415}","{""provider_static"": ""b66313b49f29f9d2bda17eba417599fdecd2be6d3ba72ccded4211933270a273"", ""providers"": ""1eb9d785ea4ca5f7a44edc66812aecbb2b333fce7d2d414d9aedada2f89c2730"", ""tasks"": ""a6d8ade2d9fbc195c35e6b6477e34858adfda80ee07f405376fb5a66f4038ea2""}",0,0,7.625549400000003,1.3097690508706337
dynamic,50,40,1,MOI,15.194519299999229,24933,15799.437649027666,1000,"{""full_cardinality_hungarian_exact"": 151, ""k_cardinality_hungarian_exact"": 684, ""small_subset_or_empty"": 165}","{""provider_static"": ""1e8240e36656de6de3b74e4d328610cdeabc8b3da82e9c788991e2630cce9046"", ""providers"": ""a369ff861c308c4bb192885347e6dedd697c4d18e375a6a2e6eb9d6298036216"", ""tasks"": ""0a76d9046f9959a875d8e0c618fa035b6f1f17cb88e4c09d3e3106e4f2aabc43""}",0,0,12.351051300000016,1.2302207262307467
dynamic,50,40,1,PASI,15.23357379999652,24933,13456.788263682862,1000,"{""full_cardinality_hungarian_exact"": 151, ""k_cardinality_hungarian_exact"": 684, ""small_subset_or_empty"": 165}","{""provider_static"": ""1e8240e36656de6de3b74e4d328610cdeabc8b3da82e9c788991e2630cce9046"", ""providers"": ""a369ff861c308c4bb192885347e6dedd697c4d18e375a6a2e6eb9d6298036216"", ""tasks"": ""0a76d9046f9959a875d8e0c618fa035b6f1f17cb88e4c09d3e3106e4f2aabc43""}",0,0,12.81086949999999,1.189113182364127
dynamic,100,80,1,MOI,39.340469699993264,50114,31816.2313726648,1000,"{""full_cardinality_hungarian_exact"": 104, ""k_cardinality_hungarian_exact"": 896}","{""provider_static"": ""49e6461538feeda618ad7e5b85ca2067747ec850648a87b9a5e1496584aa4f8d"", ""providers"": ""ad4ec3f5abeda2dfb1f96f310ca3ac4595b1f49557bbaed1314e37eee091303c"", ""tasks"": ""e64fb116ecb63e3639c8dc955ba8fe9557c9b209ace0f34df86cddc89e79bd57""}",0,0,29.83867849999997,1.318438740509011
dynamic,100,80,1,PASI,38.76637230000051,50114,26976.798287774407,1000,"{""full_cardinality_hungarian_exact"": 104, ""k_cardinality_hungarian_exact"": 896}","{""provider_static"": ""49e6461538feeda618ad7e5b85ca2067747ec850648a87b9a5e1496584aa4f8d"", ""providers"": ""ad4ec3f5abeda2dfb1f96f310ca3ac4595b1f49557bbaed1314e37eee091303c"", ""tasks"": ""e64fb116ecb63e3639c8dc955ba8fe9557c9b209ace0f34df86cddc89e79bd57""}",0,0,31.00123000000005,1.2504785229489426
dynamic,200,160,1,MOI,183.86890120001044,100320,61122.94105409467,1000,"{""full_cardinality_hungarian_exact"": 106, ""k_cardinality_hungarian_exact"": 894}","{""provider_static"": ""1f7063a7bc69a4573c7e29201ab0087946f1f2a23ea64ed1007aa32a40678a20"", ""providers"": ""916fd421c2d9e26be8e75d1535a80bf79ada92f7e5d16450c814576642c69c4d"", ""tasks"": ""2ed96b9e4c51c83c877612a53bbb2557a371f3a999f771d4bf8f6cbc099ec544""}",0,0,104.565669,1.758406013736788
dynamic,200,160,1,PASI,335.5310422999901,100320,51215.84230974688,1000,"{""full_cardinality_hungarian_exact"": 106, ""k_cardinality_hungarian_exact"": 894}","{""provider_static"": ""1f7063a7bc69a4573c7e29201ab0087946f1f2a23ea64ed1007aa32a40678a20"", ""providers"": ""916fd421c2d9e26be8e75d1535a80bf79ada92f7e5d16450c814576642c69c4d"", ""tasks"": ""2ed96b9e4c51c83c877612a53bbb2557a371f3a999f771d4bf8f6cbc099ec544""}",0,0,102.65963320000009,3.268383412653668
