scenario,seed,variant,assigned,tasks,coverage,design_reserve,execution_settlement,design_pps,settlement_pps,mean_H,coverage_first_calls,ir_violations,target_violations
burst,1,FROZEN_STATE,54738,68800,0.7956104651162791,31542.140614299286,31542.140614299286,0.5762384561785101,0.5762384561785101,0.09999999999999999,1000,0,0
burst,1,FULL_PASI,54738,68800,0.7956104651162791,26858.51502754869,26858.51502754869,0.49067402951420747,0.49067402951420747,0.9157083892834504,1000,0,0
burst,1,MOI,54738,68800,0.7956104651162791,32067.712227563796,32084.206798503776,0.5858400421565237,0.5861413789050345,0.9153597319650736,1000,0,0
burst,1,NO_NEGATIVE_FEEDBACK,54738,68800,0.7956104651162791,26746.530245812515,26746.530245812515,0.48862819697125426,0.48862819697125426,0.9387217792838888,1000,0,0
burst,1,NO_POSITIVE_ACCUMULATION,54738,68800,0.7956104651162791,31734.66201450339,31734.66201450339,0.5797555996657421,0.5797555996657421,0.06693096454100496,1000,0,0
burst,2,FROZEN_STATE,54876,68800,0.7976162790697674,32137.06111800149,32137.06111800149,0.5856305328012518,0.5856305328012518,0.09999999999999999,1000,0,0
burst,2,FULL_PASI,54876,68800,0.7976162790697674,27888.19254107217,27888.19254107217,0.5082038148019566,0.5082038148019566,0.9142050909515717,1000,0,0
burst,2,MOI,54876,68800,0.7976162790697674,32610.093929756968,32622.977616543867,0.5942505636299469,0.594485341798671,0.9132652871823268,1000,0,0
burst,2,NO_NEGATIVE_FEEDBACK,54876,68800,0.7976162790697674,27799.56270988915,27799.56270988915,0.5065887220258246,0.5065887220258246,0.9361116847558802,1000,0,0
burst,2,NO_POSITIVE_ACCUMULATION,54876,68800,0.7976162790697674,32307.348103557903,32307.348103557903,0.5887336559435437,0.5887336559435437,0.06748404815241939,1000,0,0
burst,3,FROZEN_STATE,54877,68800,0.7976308139534883,29297.034377793752,29297.034377793752,0.5338672736810276,0.5338672736810276,0.09999999999999999,1000,0,0
burst,3,FULL_PASI,54877,68800,0.7976308139534883,24182.990173352406,24182.990173352406,0.440676242749283,0.440676242749283,0.9180506086855464,1000,0,0
burst,3,MOI,54877,68800,0.7976308139534883,29890.203272180315,29904.479213299222,0.544676335663034,0.5449364800061816,0.9177867729143353,1000,0,0
burst,3,NO_NEGATIVE_FEEDBACK,54877,68800,0.7976308139534883,24088.30669074417,24088.30669074417,0.43895086631456115,0.43895086631456115,0.9389033586040917,1000,0,0
burst,3,NO_POSITIVE_ACCUMULATION,54877,68800,0.7976308139534883,29486.470055999845,29486.470055999845,0.5373192786777675,0.5373192786777675,0.06933160737442541,1000,0,0
burst,4,FROZEN_STATE,54866,68800,0.7974709302325581,30908.723083356635,30908.723083356635,0.5633493071001464,0.5633493071001464,0.09999999999999999,1000,0,0
burst,4,FULL_PASI,54866,68800,0.7974709302325581,25846.937185763945,25846.937185763945,0.47109206404264836,0.47109206404264836,0.9173839337081636,1000,0,0
burst,4,MOI,54866,68800,0.7974709302325581,31490.990990870807,31507.934350337913,0.5739618523470056,0.5742706658101177,0.9178494298516329,1000,0,0
burst,4,NO_NEGATIVE_FEEDBACK,54866,68800,0.7974709302325581,25744.532029862326,25744.532029862326,0.4692256047435994,0.4692256047435994,0.9390345372928768,1000,0,0
burst,4,NO_POSITIVE_ACCUMULATION,54866,68800,0.7974709302325581,31103.99712608059,31103.99712608059,0.5669084155229211,0.5669084155229211,0.06778850376107404,1000,0,0
burst,5,FROZEN_STATE,54760,68800,0.7959302325581395,26989.494332494585,26989.494332494585,0.4928687788987324,0.4928687788987324,0.09999999999999999,1000,0,0
burst,5,FULL_PASI,54760,68800,0.7959302325581395,22633.51022222179,22633.51022222179,0.41332195438681135,0.41332195438681135,0.917197974694474,1000,0,0
burst,5,MOI,54760,68800,0.7959302325581395,27481.23542312902,27492.46418653443,0.5018487111601355,0.5020537652763775,0.916999458831952,1000,0,0
burst,5,NO_NEGATIVE_FEEDBACK,54760,68800,0.7959302325581395,22540.199679027766,22540.199679027766,0.41161796345923607,0.41161796345923607,0.9377127909198935,1000,0,0
burst,5,NO_POSITIVE_ACCUMULATION,54760,68800,0.7959302325581395,27169.615103361004,27169.615103361004,0.49615805521112133,0.49615805521112133,0.06791875683095215,1000,0,0
burst,6,FROZEN_STATE,54569,68800,0.7931540697674418,30500.199837476168,30500.199837476168,0.5589290593097943,0.5589290593097943,0.09999999999999999,1000,0,0
burst,6,FULL_PASI,54569,68800,0.7931540697674418,25813.060779648244,25813.060779648244,0.47303525407554187,0.47303525407554187,0.9184913211201624,1000,0,0
burst,6,MOI,54569,68800,0.7931540697674418,31021.147149966106,31035.866993454954,0.5684756390985011,0.5687453864548545,0.9183324923052387,1000,0,0
burst,6,NO_NEGATIVE_FEEDBACK,54569,68800,0.7931540697674418,25711.829062514313,25711.829062514313,0.47118014005230646,0.47118014005230646,0.9404603077518012,1000,0,0
burst,6,NO_POSITIVE_ACCUMULATION,54569,68800,0.7931540697674418,30684.27698920962,30684.27698920962,0.5623023509540145,0.5623023509540145,0.06709838853519962,1000,0,0
burst,7,FROZEN_STATE,54862,68800,0.7974127906976745,30769.789631688353,30769.789631688353,0.5608579641954058,0.5608579641954058,0.09999999999999999,1000,0,0
burst,7,FULL_PASI,54862,68800,0.7974127906976745,26255.530038110704,26255.530038110704,0.4785740592415644,0.4785740592415644,0.9180089148301951,1000,0,0
burst,7,MOI,54862,68800,0.7974127906976745,31285.68557189991,31303.004363878586,0.5702614846688038,0.5705771638634863,0.91774192338389,1000,0,0
burst,7,NO_NEGATIVE_FEEDBACK,54862,68800,0.7974127906976745,26158.374205240314,26158.374205240314,0.476803146171126,0.476803146171126,0.9392953122045276,1000,0,0
burst,7,NO_POSITIVE_ACCUMULATION,54862,68800,0.7974127906976745,30958.49122940976,30958.49122940976,0.564297532525423,0.564297532525423,0.067665770178107,1000,0,0
burst,8,FROZEN_STATE,54787,68800,0.7963226744186046,29769.18987186814,29769.18987186814,0.5433622916361206,0.5433622916361206,0.09999999999999999,1000,0,0
burst,8,FULL_PASI,54787,68800,0.7963226744186046,25668.45928594093,25668.45928594093,0.468513685471753,0.468513685471753,0.9188212479046133,1000,0,0
burst,8,MOI,54787,68800,0.7963226744186046,30238.118307653545,30250.351836323694,0.5519214103282447,0.5521447028733768,0.9191475752144918,1000,0,0
burst,8,NO_NEGATIVE_FEEDBACK,54787,68800,0.7963226744186046,25583.47740443386,25583.47740443386,0.46696255324135033,0.46696255324135033,0.9404668084133845,1000,0,0
burst,8,NO_POSITIVE_ACCUMULATION,54787,68800,0.7963226744186046,29937.225624639635,29937.225624639635,0.5464293650800306,0.5464293650800306,0.0676685665700391,1000,0,0
burst,9,FROZEN_STATE,54764,68800,0.7959883720930233,28540.10398697288,28540.10398697288,0.5211471767396991,0.5211471767396991,0.09999999999999999,1000,0,0
burst,9,FULL_PASI,54764,68800,0.7959883720930233,24298.110262523787,24298.110262523787,0.4436876463100538,0.4436876463100538,0.9183213110679445,1000,0,0
burst,9,MOI,54764,68800,0.7959883720930233,29021.469802781583,29033.345159843913,0.5299369988091006,0.5301538448587377,0.9188638747888681,1000,0,0
burst,9,NO_NEGATIVE_FEEDBACK,54764,68800,0.7959883720930233,24215.827769126816,24215.827769126816,0.44218515391729635,0.44218515391729635,0.9400233625492582,1000,0,0
burst,9,NO_POSITIVE_ACCUMULATION,54764,68800,0.7959883720930233,28701.918901929625,28701.918901929625,0.5241019447434377,0.5241019447434377,0.06836543231251341,1000,0,0
burst,10,FROZEN_STATE,54758,68800,0.7959011627906977,29901.402999265105,29901.402999265105,0.5460645567636712,0.5460645567636712,0.09999999999999998,1000,0,0
burst,10,FULL_PASI,54758,68800,0.7959011627906977,25530.780285577654,25530.780285577654,0.46624749416665423,0.46624749416665423,0.9152213270730916,1000,0,0
burst,10,MOI,54758,68800,0.7959011627906977,30399.21845273185,30415.62638536685,0.5551557480684439,0.555455392552081,0.9147990093966384,1000,0,0
burst,10,NO_NEGATIVE_FEEDBACK,54758,68800,0.7959011627906977,25440.35614379758,25440.35614379758,0.46459615296025386,0.46459615296025386,0.937834963203979,1000,0,0
burst,10,NO_POSITIVE_ACCUMULATION,54758,68800,0.7959011627906977,30076.364270042628,30076.364270042628,0.549259729538015,0.549259729538015,0.067548808205754,1000,0,0
burst,11,FROZEN_STATE,54776,68800,0.7961627906976744,29205.434543992757,29205.434543992757,0.5331793950633993,0.5331793950633993,0.09999999999999998,1000,0,0
burst,11,FULL_PASI,54776,68800,0.7961627906976744,24777.030954288297,24777.030954288297,0.4523337037076146,0.4523337037076146,0.9174733829560221,1000,0,0
burst,11,MOI,54776,68800,0.7961627906976744,29704.163210580235,29716.84827374225,0.5422842706765779,0.5425158513535535,0.9165619133683451,1000,0,0
burst,11,NO_NEGATIVE_FEEDBACK,54776,68800,0.7961627906976744,24689.04581467101,24689.04581467101,0.4507274319897585,0.4507274319897585,0.9385602441243863,1000,0,0
burst,11,NO_POSITIVE_ACCUMULATION,54776,68800,0.7961627906976744,29369.928090810223,29369.928090810223,0.5361824173143388,0.5361824173143388,0.06859532005388018,1000,0,0
burst,12,FROZEN_STATE,54570,68800,0.7931686046511628,27968.377024056223,27968.377024056223,0.5125229434498116,0.5125229434498116,0.09999999999999998,1000,0,0
burst,12,FULL_PASI,54570,68800,0.7931686046511628,23435.183810616003,23435.183810616003,0.4294517832255086,0.4294517832255086,0.9147105235494589,1000,0,0
burst,12,MOI,54570,68800,0.7931686046511628,28489.56774743614,28508.099564989832,0.5220738088223592,0.5224134059921172,0.913133011627338,1000,0,0
burst,12,NO_NEGATIVE_FEEDBACK,54570,68800,0.7931686046511628,23343.30684410986,23343.30684410986,0.4277681298169298,0.4277681298169298,0.937060953994998,1000,0,0
burst,12,NO_POSITIVE_ACCUMULATION,54570,68800,0.7931686046511628,28144.688450149217,28144.688450149217,0.5157538656798464,0.5157538656798464,0.067569161238172,1000,0,0
burst,13,FROZEN_STATE,54713,68800,0.7952470930232558,29551.5221951435,29551.5221951435,0.5401188418683586,0.5401188418683586,0.09999999999999998,1000,0,0
burst,13,FULL_PASI,54713,68800,0.7952470930232558,25086.048544333422,25086.048544333422,0.45850252306277156,0.45850252306277156,0.9165225627613545,1000,0,0
burst,13,MOI,54713,68800,0.7952470930232558,30050.768739177147,30065.404375109363,0.549243666755198,0.549511165081596,0.9166347484281943,1000,0,0
burst,13,NO_NEGATIVE_FEEDBACK,54713,68800,0.7952470930232558,24996.87342221579,24996.87342221579,0.4568726522438139,0.4568726522438139,0.9377632937043607,1000,0,0
burst,13,NO_POSITIVE_ACCUMULATION,54713,68800,0.7952470930232558,29717.52369167676,29717.52369167676,0.5431528830748955,0.5431528830748955,0.06937666686808318,1000,0,0
burst,14,FROZEN_STATE,54549,68800,0.7928633720930233,31439.60094253193,31439.60094253193,0.576355220857063,0.576355220857063,0.09999999999999999,1000,0,0
burst,14,FULL_PASI,54549,68800,0.7928633720930233,27505.68104095021,27505.68104095021,0.5042380436112525,0.5042380436112525,0.9187784920478861,1000,0,0
burst,14,MOI,54549,68800,0.7928633720930233,31866.151173082042,31884.93383151333,0.5841748001444947,0.5845191265011884,0.9178621754137022,1000,0,0
burst,14,NO_NEGATIVE_FEEDBACK,54549,68800,0.7928633720930233,27419.311693526186,27419.311693526186,0.5026547084919281,0.5026547084919281,0.9409577825153649,1000,0,0
burst,14,NO_POSITIVE_ACCUMULATION,54549,68800,0.7928633720930233,31600.95055934392,31600.95055934392,0.5793131049028198,0.5793131049028198,0.06612421697599807,1000,0,0
burst,15,FROZEN_STATE,54545,68800,0.7928052325581395,28901.158515806696,28901.158515806696,0.5298589882813585,0.5298589882813585,0.09999999999999999,1000,0,0
burst,15,FULL_PASI,54545,68800,0.7928052325581395,24996.298020232833,24996.298020232833,0.45826928261495703,0.45826928261495703,0.9177825856126823,1000,0,0
burst,15,MOI,54545,68800,0.7928052325581395,29336.40354925141,29350.98051803057,0.5378385470575013,0.5381057937121747,0.9177823509848163,1000,0,0
burst,15,NO_NEGATIVE_FEEDBACK,54545,68800,0.7928052325581395,24905.8423043503,24905.8423043503,0.45661091400403886,0.45661091400403886,0.9400672014323831,1000,0,0
burst,15,NO_POSITIVE_ACCUMULATION,54545,68800,0.7928052325581395,29062.615498973268,29062.615498973268,0.5328190576399903,0.5328190576399903,0.06673674664482714,1000,0,0
burst,16,FROZEN_STATE,54617,68800,0.7938517441860465,26913.08964942667,26913.08964942667,0.4927603063043864,0.4927603063043864,0.09999999999999998,1000,0,0
