scenario,variant,n_pairs,mean_design_pps_degradation_pct,ci95_low,ci95_high,positive_count,mean_coverage_diff_pp,max_abs_coverage_diff_pp,mean_selected_H,full_pasi_mean_selected_H
burst,NO_POSITIVE_ACCUMULATION,30,18.117611916755923,17.58738298735727,18.667893190913063,30,0.0,0.0,0.06778847898554631,0.9177385224105108
burst,NO_NEGATIVE_FEEDBACK,30,-0.3651257405280173,-0.3769464564352674,-0.3534014796063192,0,0.0,0.0,0.939287224603824,0.9177385224105108
burst,FROZEN_STATE,30,17.42849156213992,16.914144000883187,17.965476898299634,30,0.0,0.0,0.09999999999999994,0.9177385224105108
dynamic,NO_POSITIVE_ACCUMULATION,30,16.53647179759726,16.00625052217248,17.089313166924686,30,0.0,0.0,0.06986461362997029,0.9274708940887795
dynamic,NO_NEGATIVE_FEEDBACK,30,-0.29954714771582436,-0.3107282807607493,-0.2884855292725147,0,0.0,0.0,0.9483913205436497,0.9274708940887795
dynamic,FROZEN_STATE,30,15.972574332486264,15.450002677493197,16.496287409357652,30,0.0,0.0,0.09999999999999996,0.9274708940887795
stationary,NO_POSITIVE_ACCUMULATION,30,15.859126517802146,15.369500408955687,16.382544955073193,30,0.0,0.0,0.06564814496560925,0.9276133709492683
stationary,NO_NEGATIVE_FEEDBACK,30,-0.26881072895916786,-0.2830978706529831,-0.25519836681232205,0,0.0,0.0,0.9489508593919282,0.9276133709492683
stationary,FROZEN_STATE,30,15.244364650059628,14.742764377297984,15.755093429376844,30,0.0,0.0,0.09999999999999995,0.9276133709492683
