scenario,design_reserve_degradation_pct__NO_POSITIVE_ACCUMULATION,execution_settlement_degradation_pct__NO_POSITIVE_ACCUMULATION,design_pps_degradation_pct__NO_POSITIVE_ACCUMULATION,settlement_pps_degradation_pct__NO_POSITIVE_ACCUMULATION,coverage_diff_pp__NO_POSITIVE_ACCUMULATION,design_reserve_degradation_pct__NO_NEGATIVE_FEEDBACK,execution_settlement_degradation_pct__NO_NEGATIVE_FEEDBACK,design_pps_degradation_pct__NO_NEGATIVE_FEEDBACK,settlement_pps_degradation_pct__NO_NEGATIVE_FEEDBACK,coverage_diff_pp__NO_NEGATIVE_FEEDBACK,design_reserve_degradation_pct__FROZEN_STATE,execution_settlement_degradation_pct__FROZEN_STATE,design_pps_degradation_pct__FROZEN_STATE,settlement_pps_degradation_pct__FROZEN_STATE,coverage_diff_pp__FROZEN_STATE
burst,18.117611916755923,18.117611916755923,18.117611916755923,18.117611916755923,0.0,-0.3651257405280191,-0.3651257405280191,-0.3651257405280173,-0.3651257405280173,0.0,17.428491562139925,17.428491562139925,17.428491562139925,17.428491562139925,0.0
dynamic,16.536471797597258,16.536471797597258,16.536471797597258,16.536471797597258,0.0,-0.29954714771582175,-0.29954714771582175,-0.29954714771582436,-0.29954714771582436,0.0,15.972574332486266,15.972574332486266,15.972574332486262,15.972574332486262,0.0
stationary,15.859126517802144,15.859126517802144,15.859126517802148,15.859126517802148,0.0,-0.26881072895916824,-0.26881072895916824,-0.2688107289591679,-0.2688107289591679,0.0,15.24436465005963,15.24436465005963,15.24436465005963,15.24436465005963,0.0
