workload,seed,method,N,M,tasks,assigned,qualified,payment,pps,service_coverage,mean_quality,qos_violations,qos_violation_rate,ir_violations,under_incentive_rate,target_violations,target_miss_rate,legal_edge_rate,platform_utility,mean_base_payment,negative_intercept_rate,core_runtime_s,instrumented_runtime_s,event_tape_hash,diagnostic_status,execution_status,decision_cost_basis,contract_protocol_version,design_reserve,available_budget,reserve_over_budget_slots,settlement_over_reserve_slots,settlement_over_budget_slots,candidate_rows,legal_rows,candidate_graph_sha256,config_sha256
high,4,PASI,34,4,3531,2484,2484,844.4059622523274,0.3399379880242864,0.703483432455395,0.8670020779476761,0,0.0,0,0.0,0,0.0,0.26549199863806605,5675.412105245247,0.0,0.0,3.6601350999990245,3.860686899999564,0b75b443e42a22cffa099383d7c342f7cfa4b0d5a3164b61541134438bb2477b,ok,completed,design_expected_payment,r51-free-action-design-only-v1,844.4059622523274,7970.477557413017,0,0,0,23496,6238,b3523e2089dbd7a32da94bd9af1457f53f613cc29afd93e90d9e37732b37fa40,6cabc2981553f6d869685a9dc6297077104b878a9175deb23cfcaf0aab407686
high,4,QUAC-F,34,4,3531,2484,2484,239.59871218346052,0.09645680844744788,0.703483432455395,0.8738355667184847,0,0.0,0,0.0,0,0.0,0.26549199863806605,6179.775185514267,-0.4674258914652071,1.0,3.69657240000015,3.8035149999996065,0b75b443e42a22cffa099383d7c342f7cfa4b0d5a3164b61541134438bb2477b,ok,completed,design_expected_payment,r51-free-action-design-only-v1,239.59871218346052,7970.477557413017,0,0,0,23496,6238,b3523e2089dbd7a32da94bd9af1457f53f613cc29afd93e90d9e37732b37fa40,6cabc2981553f6d869685a9dc6297077104b878a9175deb23cfcaf0aab407686
high,5,MOI,34,4,3531,2502,2502,901.161780659839,0.3601765710071299,0.7085811384876806,0.8660800279842527,0,0.0,0,0.0,0,0.0,0.25966121893088184,5697.166329547343,0.0,0.0,3.7477848999988055,3.927578099999664,838c25a3256ffa546f505831c0a66f66a618e58d2e5368f2a0bdf5824af0949b,ok,completed,design_expected_payment,r51-free-action-design-only-v1,901.161780659839,7980.7507585768035,0,0,0,23496,6101,9c91d040fe812b98e9b759b6161595b173d2d116b16ce3708a8597be62bb4e8a,e98bea3768dd09dbe833671ec06e236387e333788fd0f3bd84152e44b55055a6
high,5,PASI,34,4,3531,2502,2502,763.974061656002,0.30534534838369387,0.7085811384876806,0.8668747128166143,0,0.0,0,0.0,0,0.0,0.25966121893088184,5821.557727741974,0.0,0.0,3.697531699999672,3.8538072999981523,838c25a3256ffa546f505831c0a66f66a618e58d2e5368f2a0bdf5824af0949b,ok,completed,design_expected_payment,r51-free-action-design-only-v1,763.974061656002,7980.7507585768035,0,0,0,23496,6101,9c91d040fe812b98e9b759b6161595b173d2d116b16ce3708a8597be62bb4e8a,e98bea3768dd09dbe833671ec06e236387e333788fd0f3bd84152e44b55055a6
high,5,QUAC-F,34,4,3531,2502,2502,231.63608897141756,0.09258037129153379,0.7085811384876806,0.8743966265500879,0,0.0,0,0.0,0,0.0,0.25966121893088184,6252.94903781961,-0.4535442074248367,1.0,3.5447804999967047,3.717418899999757,838c25a3256ffa546f505831c0a66f66a618e58d2e5368f2a0bdf5824af0949b,ok,completed,design_expected_payment,r51-free-action-design-only-v1,231.63608897141756,7980.7507585768035,0,0,0,23496,6101,9c91d040fe812b98e9b759b6161595b173d2d116b16ce3708a8597be62bb4e8a,e98bea3768dd09dbe833671ec06e236387e333788fd0f3bd84152e44b55055a6
high,6,MOI,34,4,3531,2523,2523,863.4387932591585,0.3422270286401738,0.7145284621920136,0.8656745611785072,0,0.0,0,0.0,0,0.0,0.26391726251276815,5762.080051394288,1.5548531908215901e-06,0.0,3.5726947000002838,3.693142899999657,ff48b72b0815997dcc7fa4c6b1032d8f436707fee00f69bebd1d56732603a32f,ok,completed,design_expected_payment,r51-free-action-design-only-v1,863.4387932591585,7953.303198377519,0,0,0,23496,6201,2e819b4fd88809fe30a8e26b180554e99e1dc9845ddda4dd3314189e44d73369,22345ad31fcfda04381add2bd275d67e67ebef25a944fc0639c0baa7ab0d96f9
high,6,PASI,34,4,3531,2523,2523,709.3091492318734,0.28113719747597044,0.7145284621920136,0.8660480464405464,0,0.0,0,0.0,0,0.0,0.26391726251276815,5912.2754645178575,0.0,0.0,3.6176966999992146,3.737151500001346,ff48b72b0815997dcc7fa4c6b1032d8f436707fee00f69bebd1d56732603a32f,ok,completed,design_expected_payment,r51-free-action-design-only-v1,709.3091492318734,7953.303198377519,0,0,0,23496,6201,2e819b4fd88809fe30a8e26b180554e99e1dc9845ddda4dd3314189e44d73369,22345ad31fcfda04381add2bd275d67e67ebef25a944fc0639c0baa7ab0d96f9
high,6,QUAC-F,34,4,3531,2523,2523,234.76650660257624,0.09305053769424346,0.7145284621920136,0.8735097476780058,0,0.0,0,0.0,0,0.0,0.26391726251276815,6290.48099945395,-0.44319851342051514,1.0,3.5682979000011983,3.7010795999995025,ff48b72b0815997dcc7fa4c6b1032d8f436707fee00f69bebd1d56732603a32f,ok,completed,design_expected_payment,r51-free-action-design-only-v1,234.76650660257624,7953.303198377519,0,0,0,23496,6201,2e819b4fd88809fe30a8e26b180554e99e1dc9845ddda4dd3314189e44d73369,22345ad31fcfda04381add2bd275d67e67ebef25a944fc0639c0baa7ab0d96f9
high,7,MOI,34,4,3531,2484,2484,746.625675098708,0.3005739432764525,0.703483432455395,0.8656196686045079,0,0.0,0,0.0,0,0.0,0.2597037793667007,5798.6790272863,0.0,0.0,3.77439830000003,3.9410355999971216,924e0b3a2da73a8d5e6ae90365cefcf0203c49b4b0fe24d1888d5a023ad88ff6,ok,completed,design_expected_payment,r51-free-action-design-only-v1,746.625675098708,7975.040676059589,0,0,0,23496,6102,a4a74c297dd7facbcadc3f2bfea242294af7bea2cb4a29c627d99e29a9dfb6e7,543e711cbdd506bd2ea6f0dba6158e0edf442316f00446af0af42e46b7e24bcf
high,7,PASI,34,4,3531,2484,2484,626.2738022967294,0.25212310881510847,0.703483432455395,0.866293655757362,0,0.0,0,0.0,0,0.0,0.2597037793667007,5910.266641759552,0.0,0.0,3.7232354000007035,3.864671499999531,924e0b3a2da73a8d5e6ae90365cefcf0203c49b4b0fe24d1888d5a023ad88ff6,ok,completed,design_expected_payment,r51-free-action-design-only-v1,626.2738022967294,7975.040676059589,0,0,0,23496,6102,a4a74c297dd7facbcadc3f2bfea242294af7bea2cb4a29c627d99e29a9dfb6e7,543e711cbdd506bd2ea6f0dba6158e0edf442316f00446af0af42e46b7e24bcf
