workload,method,reference,n_pairs,all_runs_completed,mean_pps,pps_ci_low,pps_ci_high,delta_pps,delta_pps_ci_low,delta_pps_ci_high,mean_service_coverage,service_coverage_ci_low,service_coverage_ci_high,delta_service_coverage,delta_service_coverage_ci_low,delta_service_coverage_ci_high,mean_mean_quality,mean_quality_ci_low,mean_quality_ci_high,delta_mean_quality,delta_mean_quality_ci_low,delta_mean_quality_ci_high,mean_qos_violation_rate,qos_violation_rate_ci_low,qos_violation_rate_ci_high,delta_qos_violation_rate,delta_qos_violation_rate_ci_low,delta_qos_violation_rate_ci_high,mean_under_incentive_rate,under_incentive_rate_ci_low,under_incentive_rate_ci_high,delta_under_incentive_rate,delta_under_incentive_rate_ci_low,delta_under_incentive_rate_ci_high,mean_target_miss_rate,target_miss_rate_ci_low,target_miss_rate_ci_high,delta_target_miss_rate,delta_target_miss_rate_ci_low,delta_target_miss_rate_ci_high,mean_legal_edge_rate,legal_edge_rate_ci_low,legal_edge_rate_ci_high,delta_legal_edge_rate,delta_legal_edge_rate_ci_low,delta_legal_edge_rate_ci_high,mean_platform_utility,platform_utility_ci_low,platform_utility_ci_high,delta_platform_utility,delta_platform_utility_ci_low,delta_platform_utility_ci_high,mean_core_runtime_s,core_runtime_s_ci_low,core_runtime_s_ci_high,delta_core_runtime_s,delta_core_runtime_s_ci_low,delta_core_runtime_s_ci_high
high,MOI,PASI,30,True,0.36250623911736995,0.3519619358471884,0.37301114904371563,0.04676779290777598,0.043843795878885886,0.049771071459157344,0.707410554139526,0.7056074766355139,0.7092044274520911,0.0,0.0,0.0,0.8664040181632525,0.8659423721670995,0.8668967367757084,-0.0003266658643121182,-0.0003879565738319035,-0.00026831529309287027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26192543411644537,0.2609011108273749,0.2629341519123823,0.0,0.0,0.0,5649.578657135034,5619.835400639093,5679.456130550847,-110.1095963287104,-117.06088082908083,-102.90327057105013,3.7205876066667165,3.6766228020833687,3.7635263884998738,-0.03365591666661207,-0.06253573933292209,-0.005587580166535822
high,PASI,PASI,30,True,0.31573844620959396,0.30401819867387486,0.32785484372767526,0.0,0.0,0.0,0.707410554139526,0.705607476635514,0.7092513924289625,0.0,0.0,0.0,0.8667306840275645,0.8662617230684401,0.8672260297526477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26192543411644537,0.2608770287141074,0.26298377028714104,0.0,0.0,0.0,5759.688253463744,5726.215939493943,5792.442702538968,0.0,0.0,0.0,3.7542435233333284,3.7071121329166785,3.8048325192499215,0.0,0.0,0.0
high,QUAC-F,PASI,30,True,0.09257020544589228,0.0910423460138201,0.09403067229052191,-0.22316824076370168,-0.23486780082774467,-0.212003860474594,0.707410554139526,0.7055602756537336,0.7092421882375154,0.0,0.0,0.0,0.8747893581726192,0.8743692081726573,0.8752386141101223,0.008058674145054782,0.007786180013911267,0.008325859958733218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26192543411644537,0.26088266797185333,0.26294688457609805,0.0,0.0,0.0,6217.535361642018,6200.892622224085,6233.9286418899865,457.84710817827374,429.6002559801861,487.21055574929363,3.6595212500001555,3.6174379895003614,3.703001659249967,-0.09472227333317282,-0.13782633241651335,-0.054354461166358434
low,MOI,PASI,30,True,0.34417923339950135,0.33436426930202384,0.3544306573211547,0.0429615143848412,0.04053720518467373,0.04536567330052313,0.8585129906025429,0.8554166666666666,0.8616915422885573,0.0,0.0,0.0,0.8666314756109698,0.8661039394039266,0.867154506748525,-3.550153334982431e-05,-6.265546054636964e-05,-1.1435425436714955e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2629391764261428,0.26112580279561765,0.2647231666876547,0.0,0.0,0.0,2399.368142005486,2385.9359221466743,2413.825174996111,-44.22021114581432,-46.71280895238255,-41.76152264373096,3.084227093333296,3.03507256358322,3.1352015523334376,-0.03033393666701151,-0.07495697100089573,0.008587981082707113
low,PASI,PASI,30,True,0.30121771901466027,0.2905043949938572,0.31212547736122753,0.0,0.0,0.0,0.8585129906025429,0.855444997236042,0.8617468214483138,0.0,0.0,0.0,0.8666669771443195,0.8661463331507249,0.8671879588041876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2629391764261428,0.26112989547915877,0.2647231666876548,0.0,0.0,0.0,2443.588353151301,2429.0493582268837,2459.0475002160483,0.0,0.0,0.0,3.1145610300003077,3.071053779833298,3.1596123254170654,0.0,0.0,0.0
low,QUAC-F,PASI,30,True,0.09504520720697007,0.09321144361993422,0.0967430205133004,-0.20617251180769014,-0.21618657299073282,-0.19635561580066554,0.8585129906025429,0.8554449972360421,0.8617191818684357,0.0,0.0,0.0,0.8676148971636979,0.8670823338203747,0.868147024321893,0.0009479200193782604,0.0008186077351247762,0.0010830249807638767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2629391764261428,0.2611216051714729,0.26472736431179944,0.0,0.0,0.0,2652.6836693173204,2642.4877143660096,2663.426621035538,209.09531616601998,198.99994203793167,219.51977515741675,3.010050020000684,2.9671818101672156,3.0550950710838576,-0.10451100999962365,-0.1549532889995347,-0.05988830724959371
medium,MOI,PASI,30,True,0.3567038271980575,0.3461391759143031,0.3674169482844194,0.046633733301769655,0.04382098944646528,0.04947315891612197,0.7809929653679654,0.777922077922078,0.7841991341991342,0.0,0.0,0.0,0.8664957613057817,0.8659578232152381,0.8670301502129807,-0.0001452498365909586,-0.00019524561102846034,-0.0001001857804926104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26075537667195187,0.2595824694068382,0.26196080822864576,0.0,0.0,0.0,4400.434779669552,4371.891968009018,4430.740705633539,-87.87013034405824,-93.3104455343193,-82.41780457116356,3.2315775233333017,3.190072484166297,3.2696524537498077,-0.0153650233334095,-0.0432387292501032,0.011634229666766915
medium,PASI,PASI,30,True,0.31007009389628787,0.29853135056618596,0.32182405192954283,0.0,0.0,0.0,0.7809929653679654,0.7778544372294374,0.7841720779220779,0.0,0.0,0.0,0.866641011142373,0.866090160485847,0.8671907076690029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26075537667195187,0.25955395983249985,0.26193646582916613,0.0,0.0,0.0,4488.30491001361,4457.856959104905,4519.864844482983,0.0,0.0,0.0,3.2469425466667112,3.205972575250186,3.2816411182495147,0.0,0.0,0.0
medium,QUAC-F,PASI,30,True,0.09435455967137027,0.09274795478666414,0.0959059787815919,-0.21571553422491752,-0.22717321668316395,-0.20491426348183492,0.7809929653679654,0.7778679653679653,0.7842130005411256,0.0,0.0,0.0,0.8706658347186134,0.8701045733344769,0.8712143406529826,0.004024823576240543,0.003845562789035462,0.004196712239494691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26075537667195187,0.2595621417246005,0.26193646582916613,0.0,0.0,0.0,4865.2036224373815,4840.571902104374,4890.350519888305,376.8987124237698,355.0030482179023,400.1335402462475,3.203232749999976,3.1520058714165744,3.2496842604164704,-0.04370979666673513,-0.07094203333313387,-0.01313573866689081
