window,seed,scenario,profile,tasks,assigned,qualified,coverage,qualified_coverage,qos_violations,qos_violation_rate,ir_violations,target_violations,design_reserve,execution_payment,pps,settlement_over_reserve_slots,reserve_over_budget_slots,settlement_over_budget_slots,run_status,source,redistributable,config_sha256,preregistration_sha256,runner_sha256
w01,11,up_step,frozen_point,1285,1004,1004,0.7813229571984436,0.7813229571984436,0,0.0,0,571,303.24316200156784,308.2027371347147,0.30697483778358037,215,0,0,failed,geolife,False,1eccab1970e9a4924ae6dea13b8edef26a8729666d424789d11fcd78ca686154,8ccef4cfda2df7e47fea28354936c0ff4b0e9b499e125c9419b0d4fbacdc52c3,9ffc7036eec33993c9496d2e8f2c0b7630d27a1a77f46a91a90576dc0ac1a94f
w01,23,down_step,fixed_envelope,1285,687,687,0.5346303501945525,0.5346303501945525,0,0.0,0,0,475.48869391410676,441.2250124100685,0.6422489263610894,0,0,0,ok,geolife,False,75dae3bcad031d3cf32cec4318d71dc5d9e869636c71529cefaac5d20423c281,8ccef4cfda2df7e47fea28354936c0ff4b0e9b499e125c9419b0d4fbacdc52c3,9ffc7036eec33993c9496d2e8f2c0b7630d27a1a77f46a91a90576dc0ac1a94f
w01,23,down_step,frozen_point,1285,1007,795,0.7836575875486381,0.6186770428015564,212,0.21052631578947367,0,0,349.49211952442715,331.31182547271123,0.32900876412384433,0,0,0,failed,geolife,False,948edaf8de47acd03957550c41d75e0a0563c77a87d665846495e1dd162da5d7,8ccef4cfda2df7e47fea28354936c0ff4b0e9b499e125c9419b0d4fbacdc52c3,9ffc7036eec33993c9496d2e8f2c0b7630d27a1a77f46a91a90576dc0ac1a94f
w01,23,stable,fixed_envelope,1285,687,687,0.5346303501945525,0.5346303501945525,0,0.0,0,0,475.1221203834476,459.369612407557,0.6686602800692242,0,0,0,ok,geolife,False,75dae3bcad031d3cf32cec4318d71dc5d9e869636c71529cefaac5d20423c281,8ccef4cfda2df7e47fea28354936c0ff4b0e9b499e125c9419b0d4fbacdc52c3,9ffc7036eec33993c9496d2e8f2c0b7630d27a1a77f46a91a90576dc0ac1a94f
w01,23,stable,frozen_point,1285,1007,1007,0.7836575875486381,0.7836575875486381,0,0.0,0,0,348.8909656023486,348.8909656023486,0.3464657056627096,0,0,0,ok,geolife,False,948edaf8de47acd03957550c41d75e0a0563c77a87d665846495e1dd162da5d7,8ccef4cfda2df7e47fea28354936c0ff4b0e9b499e125c9419b0d4fbacdc52c3,9ffc7036eec33993c9496d2e8f2c0b7630d27a1a77f46a91a90576dc0ac1a94f
w01,23,up_step,fixed_envelope,1285,687,687,0.5346303501945525,0.5346303501945525,0,0.0,0,0,474.9642962633746,467.2317477387098,0.6801044363008877,0,0,0,ok,geolife,False,75dae3bcad031d3cf32cec4318d71dc5d9e869636c71529cefaac5d20423c281,8ccef4cfda2df7e47fea28354936c0ff4b0e9b499e125c9419b0d4fbacdc52c3,9ffc7036eec33993c9496d2e8f2c0b7630d27a1a77f46a91a90576dc0ac1a94f
w01,23,up_step,frozen_point,1285,1007,1007,0.7836575875486381,0.7836575875486381,0,0.0,0,560,348.7319055029378,353.93149509972,0.35147119672266136,217,0,0,failed,geolife,False,948edaf8de47acd03957550c41d75e0a0563c77a87d665846495e1dd162da5d7,8ccef4cfda2df7e47fea28354936c0ff4b0e9b499e125c9419b0d4fbacdc52c3,9ffc7036eec33993c9496d2e8f2c0b7630d27a1a77f46a91a90576dc0ac1a94f
w02,2,down_step,fixed_envelope,1864,988,988,0.5300429184549357,0.5300429184549357,0,0.0,0,0,628.8472066640073,584.3528692677613,0.5914502725382199,0,0,0,ok,geolife,False,c7d840c06c2eaf9adca42f80cd261439209261a0fb8ce08fd04d503406dfd37a,8ccef4cfda2df7e47fea28354936c0ff4b0e9b499e125c9419b0d4fbacdc52c3,9ffc7036eec33993c9496d2e8f2c0b7630d27a1a77f46a91a90576dc0ac1a94f
w02,2,down_step,frozen_point,1864,1470,1209,0.7886266094420601,0.6486051502145923,261,0.17755102040816326,0,0,468.57440305654353,446.93012017680326,0.30403409535836956,0,0,0,failed,geolife,False,6efac0c457ee9c0cd61654d94993631e49ed738851a3dc1bc130ae269f209060,8ccef4cfda2df7e47fea28354936c0ff4b0e9b499e125c9419b0d4fbacdc52c3,9ffc7036eec33993c9496d2e8f2c0b7630d27a1a77f46a91a90576dc0ac1a94f
w02,2,stable,fixed_envelope,1864,988,988,0.5300429184549357,0.5300429184549357,0,0.0,0,0,628.1303642118502,607.0121538134232,0.6143847710662178,0,0,0,ok,geolife,False,c7d840c06c2eaf9adca42f80cd261439209261a0fb8ce08fd04d503406dfd37a,8ccef4cfda2df7e47fea28354936c0ff4b0e9b499e125c9419b0d4fbacdc52c3,9ffc7036eec33993c9496d2e8f2c0b7630d27a1a77f46a91a90576dc0ac1a94f
