window,scenario,coverage__fixed_envelope,coverage__frozen_point,qualified_coverage__fixed_envelope,qualified_coverage__frozen_point,qos_violation_rate__fixed_envelope,qos_violation_rate__frozen_point,pps__fixed_envelope,pps__frozen_point,coverage__envelope_minus_point,qualified_coverage__envelope_minus_point,qos_violation_rate__envelope_minus_point,pps__envelope_minus_point
w01,down_step,0.5250324254215305,0.7859922178988327,0.5250324254215305,0.6186770428015564,0.0,0.21287128712871287,0.5929319851187985,0.29985775668607434,-0.26095979247730217,-0.09364461738002594,-0.21287128712871287,0.2930742284327242
w01,stable,0.5250324254215305,0.7859922178988327,0.5250324254215305,0.7859922178988327,0.0,0.0,0.6182476056007212,0.3161788140599953,-0.26095979247730217,-0.26095979247730217,0.0,0.3020687915407259
w01,up_step,0.5250324254215305,0.7859922178988327,0.5250324254215305,0.7859922178988327,0.0,0.0,0.629330823065551,0.3208915105933696,-0.26095979247730217,-0.26095979247730217,0.0,0.30843931247218137
w02,down_step,0.532546494992847,0.7868383404864092,0.532546494992847,0.6457439198855508,0.0,0.17931818181818182,0.5963379013551794,0.3043007292079933,-0.2542918454935622,-0.11319742489270379,-0.17931818181818182,0.2920371721471861
w02,stable,0.532546494992847,0.7868383404864092,0.532546494992847,0.7868383404864092,0.0,0.0,0.6201766896071542,0.31911126812615187,-0.2542918454935622,-0.2542918454935622,0.0,0.30106542148100235
w02,up_step,0.532546494992847,0.7868383404864092,0.532546494992847,0.7868383404864092,0.0,0.0,0.6306530286368853,0.3232794507107082,-0.2542918454935622,-0.2542918454935622,0.0,0.30737357792617714
w03,down_step,0.5237774786899956,0.7884701659937191,0.5237774786899956,0.6527590847913863,0.0,0.1721194879089616,0.6164266504287954,0.3092301313815565,-0.26469268730372353,-0.12898160610139076,-0.1721194879089616,0.30719651904723894
w03,stable,0.5237774786899956,0.7884701659937191,0.5237774786899956,0.7884701659937191,0.0,0.0,0.6387766138081489,0.32323686107147626,-0.26469268730372353,-0.26469268730372353,0.0,0.3155397527366726
w03,up_step,0.5237774786899956,0.7884701659937191,0.5237774786899956,0.7884701659937191,0.0,0.0,0.648539033444833,0.3272075655907101,-0.26469268730372353,-0.26469268730372353,0.0,0.32133146785412287
w04,down_step,0.5421279212792128,0.7979704797047971,0.5421279212792128,0.6586715867158671,0.0,0.1745664739884393,0.5884858661202707,0.2976354458847597,-0.25584255842558423,-0.11654366543665429,-0.1745664739884393,0.29085042023551094
w04,stable,0.5421279212792128,0.7979704797047971,0.5421279212792128,0.7979704797047971,0.0,0.0,0.6097513545191845,0.310962172100571,-0.25584255842558423,-0.25584255842558423,0.0,0.2987891824186135
w04,up_step,0.5421279212792128,0.7979704797047971,0.5421279212792128,0.7979704797047971,0.0,0.0,0.6190903528859796,0.31474204906634234,-0.25584255842558423,-0.25584255842558423,0.0,0.30434830381963723
w05,down_step,0.5352871820784908,0.7808657571163887,0.5352871820784908,0.6291056088933805,0.0,0.1943485763589301,0.6338396972570571,0.3222367090670138,-0.24557857503789793,-0.09381842681488972,-0.1943485763589301,0.31160298819004334
w05,stable,0.5352871820784908,0.7808657571163887,0.5352871820784908,0.7808657571163887,0.0,0.0,0.6615221203078163,0.33941816594825314,-0.24557857503789793,-0.24557857503789793,0.0,0.3221039543595632
w05,up_step,0.5352871820784908,0.7808657571163887,0.5352871820784908,0.7808657571163887,0.0,0.0,0.6736845700753505,0.34427728271374974,-0.24557857503789793,-0.24557857503789793,0.0,0.3294072873616008
w06,down_step,0.5372331484283074,0.7804673054294838,0.5372331484283074,0.6419566313666162,0.0,0.17747146241654102,0.560384112010284,0.281142578460248,-0.24323415700117645,-0.1047234829383088,-0.17747146241654102,0.27924153355003606
w06,stable,0.5372331484283074,0.7804673054294838,0.5372331484283074,0.7804673054294838,0.0,0.0,0.5834986287963927,0.2953522962755311,-0.24323415700117645,-0.24323415700117645,0.0,0.2881463325208616
w06,up_step,0.5372331484283074,0.7804673054294838,0.5372331484283074,0.7804673054294838,0.0,0.0,0.5936946416503431,0.29935760608488127,-0.24323415700117645,-0.24323415700117645,0.0,0.29433703556546187
