workload,n_paired_seeds,mean_comparable_tasks,mean_comparable_fraction_all_tasks,pasi_mean_pps,qim_e_mean_pps,csopt_mean_pps,pasi_minus_qim_e_pps,pasi_minus_qim_e_ci_low,pasi_minus_qim_e_ci_high,pasi_minus_csopt_pps,pasi_minus_csopt_ci_low,pasi_minus_csopt_ci_high,pasi_lower_than_qim_seed_count,pasi_lower_than_csopt_seed_count,qim_csopt_all_slots_equivalent,qim_csopt_max_abs_payment_gap,total_ir_violations,total_qos_violations
low,30,394.8666666666667,0.3274184632393587,0.22627854509616413,0.0706734437641,0.0706734437641,0.15560510133206412,0.14776875380490087,0.16365540553073774,0.15560510133206412,0.14803793222121372,0.16366594321872294,0,0,True,1.6653345369377348e-16,0,0
medium,30,465.73333333333335,0.18901515151515147,0.2315696808626021,0.07175896792104096,0.07175896792104096,0.15981071294156107,0.15239295352538304,0.16763273154084712,0.15981071294156107,0.152403739887451,0.16767304621169066,0,0,True,2.220446049250313e-16,0,0
high,30,420.8,0.11917303879920703,0.23398749346707393,0.07215922784033853,0.07215922784033853,0.1618282656267354,0.15310577158196062,0.17107975326662592,0.1618282656267354,0.15317373835232323,0.17096620618481306,0,0,True,2.220446049250313e-16,0,0
