seed,scenario,assignment_loss_pp,qualified_coverage_loss_pp,robust_minus_point_pps,point_qos_violations,robust_qos_violations
2,down_step,22.22847495779403,9.060213843556554,0.27765923634947587,234,0
2,stable,22.22847495779403,22.22847495779403,0.2872398703629394,0,0
2,up_step,22.22847495779403,22.22847495779403,0.2932975604520011,0,0
3,down_step,25.83005064715813,10.80472706809229,0.3313780129014518,267,0
3,stable,25.83005064715813,25.83005064715813,0.34135979103114167,0,0
3,up_step,25.83005064715813,25.83005064715813,0.3486150272854736,0,0
4,down_step,25.886325267304443,10.241980866629152,0.3057027572578724,278,0
4,stable,25.886325267304443,25.886325267304443,0.3147328652012018,0,0
4,up_step,25.886325267304443,25.886325267304443,0.3211967530822138,0,0
5,down_step,25.323579065841308,11.142374788970166,0.29543139704411,252,0
5,stable,25.323579065841308,25.323579065841308,0.3058535461797608,0,0
5,up_step,25.323579065841308,25.323579065841308,0.31249290679243397,0,0
6,down_step,24.98593134496342,10.579628587507028,0.2749985663343002,256,0
6,stable,24.98593134496342,24.98593134496342,0.2845635034093497,0,0
6,up_step,24.98593134496342,24.98593134496342,0.2904781673883727,0,0
7,down_step,25.60495216657288,10.18570624648284,0.25002254381882283,274,0
7,stable,25.60495216657288,25.60495216657288,0.2579266467851022,0,0
7,up_step,25.60495216657288,25.60495216657288,0.26326002459282416,0,0
8,down_step,24.98593134496342,9.622960045019703,0.2929645754217842,273,0
8,stable,24.98593134496342,24.98593134496342,0.3013211039744298,0,0
8,up_step,24.98593134496342,24.98593134496342,0.3071739391914994,0,0
9,down_step,24.929656724817107,10.129431626336515,0.3391352479865587,263,0
9,stable,24.929656724817107,24.929656724817107,0.348979123210729,0,0
9,up_step,24.929656724817107,24.929656724817107,0.3558125193899345,0,0
10,down_step,25.098480585256045,10.298255486775465,0.2663298502480371,263,0
10,stable,25.098480585256045,25.098480585256045,0.2753501252320901,0,0
10,up_step,25.098480585256045,25.098480585256045,0.28150901036691545,0,0
11,down_step,23.916713562183457,9.960607765897588,0.2876541333957663,248,0
11,stable,23.916713562183457,23.916713562183457,0.2982553182120001,0,0
11,up_step,23.916713562183457,23.916713562183457,0.3052252865827086,0,0
12,down_step,24.76083286437817,10.4108047270681,0.2921193022233982,255,0
12,stable,24.76083286437817,24.76083286437817,0.30228193802244707,0,0
12,up_step,24.76083286437817,24.76083286437817,0.30923078084498096,0,0
13,down_step,23.241418120427692,9.116488463702876,0.34111912687171236,251,0
13,stable,23.241418120427692,23.241418120427692,0.3515927047625643,0,0
13,up_step,23.241418120427692,23.241418120427692,0.35934783203149295,0,0
14,down_step,24.648283624085533,10.354530106921779,0.273329854075898,254,0
14,stable,24.648283624085533,24.648283624085533,0.2826566383592711,0,0
14,up_step,24.648283624085533,24.648283624085533,0.28919075470973554,0,0
