seed,method,assigned_normal,assigned_reset,tasks_normal,tasks_reset,coverage_normal,coverage_reset,design_reserve_normal,design_reserve_reset,execution_settlement_normal,execution_settlement_reset,design_pps_normal,design_pps_reset,settlement_pps_normal,settlement_pps_reset,coverage_loss_pp,design_pps_change_pct,settlement_pps_change_pct
601,MOI,67767.0,67767.0,80000.0,80000.0,0.8470875,0.8470875,48164.03202950473,48164.03202950473,48184.61772044842,48184.404445641194,0.7107298837119059,0.7107298837119059,0.7110336553255776,0.7110305081476411,0.0,0.0,-0.00044262010847617717
601,PASI,67767.0,67767.0,80000.0,80000.0,0.8470875,0.8470875,41686.73629366666,41734.3074307177,41686.73629366666,41734.3074307177,0.6151480262320401,0.6158500070936842,0.6151480262320401,0.6158500070936842,0.0,0.11411576266349144,0.11411576266349144
602,MOI,67446.0,67446.0,80000.0,80000.0,0.843075,0.843075,44675.400681138635,44675.400681138635,44695.317705799534,44695.19689077779,0.6623876980271423,0.6623876980271423,0.6626830013017753,0.6626812100165731,0.0,0.0,-0.00027030800527905186
602,PASI,67446.0,67446.0,80000.0,80000.0,0.843075,0.843075,38384.73820236471,38438.276872259565,38384.73820236471,38438.276872259565,0.5691180826493003,0.5699118831696404,0.5691180826493003,0.5699118831696404,0.0,0.13947905444242625,0.13947905444242625
603,MOI,67597.0,67597.0,80000.0,80000.0,0.8449625,0.8449625,42064.69093703173,42064.69093703173,42084.66584538404,42084.505855361946,0.6222863579305551,0.6222863579305551,0.6225818578544025,0.6225794910330628,0.0,0.0,-0.00038016227261739033
603,PASI,67597.0,67597.0,80000.0,80000.0,0.8449625,0.8449625,35542.850259277984,35588.39495006098,35542.850259277984,35588.39495006098,0.5258051431169725,0.5264789110472503,0.5258051431169725,0.5264789110472503,0.0,0.12814023200378166,0.12814023200378166
604,MOI,67361.0,67361.0,80000.0,80000.0,0.8420125,0.8420125,42108.93974108035,42108.93974108035,42126.406976751474,42126.35492905167,0.6251234355351071,0.6251234355351071,0.62538274337898,0.6253819707108218,0.0,0.0,-0.00012355124384688665
604,PASI,67361.0,67361.0,80000.0,80000.0,0.8420125,0.8420125,36490.113678734415,36532.51866255799,36490.113678734415,36532.51866255799,0.54170979763861,0.5423393159626192,0.54170979763861,0.5423393159626192,0.0,0.11620951416300151,0.11620951416300151
605,MOI,67642.0,67642.0,80000.0,80000.0,0.845525,0.845525,39877.12650726279,39877.12650726279,39896.97789851645,39896.799545388734,0.5895320438080304,0.5895320438080304,0.5898255211039953,0.5898228843823177,0.0,0.0,-0.00044703417931835077
605,PASI,67642.0,67642.0,80000.0,80000.0,0.845525,0.845525,33039.905648840795,33087.126926085024,33039.905648840795,33087.126926085024,0.4884525243020726,0.48915063017186106,0.4884525243020726,0.48915063017186106,0.0,0.1429219494332612,0.1429219494332612
606,MOI,67527.0,67527.0,80000.0,80000.0,0.8440875,0.8440875,43709.45920470261,43709.45920470261,43730.03622565542,43729.81247105173,0.6472886283220431,0.6472886283220431,0.6475933511877534,0.6475900376301588,0.0,0.0,-0.0005116725779519271
606,PASI,67527.0,67527.0,80000.0,80000.0,0.8440875,0.8440875,37618.654139268394,37670.2015999563,37618.654139268394,37670.2015999563,0.557090558432455,0.5578539191724243,0.557090558432455,0.5578539191724243,0.0,0.13702632873859866,0.13702632873859866
607,MOI,67722.0,67722.0,80000.0,80000.0,0.846525,0.846525,39578.54946239707,39578.54946239707,39597.729107782,39597.548422187945,0.5844267662265892,0.5844267662265892,0.5847099776702105,0.5847073096215106,0.0,0.0,-0.00045630291969356307
607,PASI,67722.0,67722.0,80000.0,80000.0,0.846525,0.846525,33709.72354081959,33753.78587840489,33709.72354081959,33753.78587840489,0.49776621394553605,0.49841684944929104,0.49776621394553605,0.49841684944929104,0.0,0.1307110618452345,0.1307110618452345
608,MOI,67597.0,67597.0,80000.0,80000.0,0.8449625,0.8449625,40584.053047379224,40584.053047379224,40602.20310630184,40602.058557920274,0.6003824585022889,0.6003824585022889,0.6006509624140396,0.6006488240294728,0.0,0.0,-0.0003560111779710162
608,PASI,67597.0,67597.0,80000.0,80000.0,0.8449625,0.8449625,34281.332670358024,34335.56115412424,34281.332670358024,34335.56115412424,0.5071428121123426,0.5079450442197766,0.5071428121123426,0.5079450442197766,0.0,0.15818662677926643,0.15818662677926643
609,MOI,67695.0,67695.0,80000.0,80000.0,0.8461875,0.8461875,43299.87334584596,43299.87334584596,43323.2797690974,43322.97659249874,0.6396317799814751,0.6396317799814751,0.6399775429366629,0.6399730643695802,0.0,0.0,-0.0006998006620850816
609,PASI,67695.0,67695.0,80000.0,80000.0,0.8461875,0.8461875,36705.976854037515,36763.45119097453,36705.976854037515,36763.45119097453,0.5422258195440951,0.5430748384810478,0.5422258195440951,0.5430748384810478,0.0,0.15658032250593923,0.15658032250593923
610,MOI,67487.0,67487.0,80000.0,80000.0,0.8435875,0.8435875,37796.24636440555,37796.24636440555,37809.87913065451,37809.748909383954,0.5600522524990821,0.5600522524990821,0.5602542583112972,0.5602523287356669,0.0,0.0,-0.00034441070311252986
610,PASI,67487.0,67487.0,80000.0,80000.0,0.8435875,0.8435875,31505.515738462018,31558.28365784955,31505.515738462018,31558.28365784955,0.46683829090731577,0.4676201884488798,0.46683829090731577,0.4676201884488798,0.0,0.16748787680727073,0.16748787680727073
