scenario,method,seed,condition,assigned,tasks,coverage,design_reserve,execution_settlement,design_pps,settlement_pps,coverage_first_calls,ir_violations,target_violations,event_fingerprints
stationary,MOI,604,reset,67361,80000,0.8420125,42108.93974108035,42126.35492905167,0.6251234355351071,0.6253819707108218,1000,0,0,"{""provider_static"": ""742dab0d5aab71f0e6e7b6f03ba048c18df08fc58f56f34cd9013a648ea46209"", ""providers"": ""0ebfa4565a8c7955192c2c40788d1a2eaabc4ec4fc5eb7515079b5fb02cc3c75"", ""tasks"": ""ae1cf732fd42c9cb70ed520d45092c70b8d73c9551f62681144561828bd64c26""}"
stationary,PASI,604,normal,67361,80000,0.8420125,36490.113678734415,36490.113678734415,0.54170979763861,0.54170979763861,1000,0,0,"{""provider_static"": ""742dab0d5aab71f0e6e7b6f03ba048c18df08fc58f56f34cd9013a648ea46209"", ""providers"": ""0ebfa4565a8c7955192c2c40788d1a2eaabc4ec4fc5eb7515079b5fb02cc3c75"", ""tasks"": ""ae1cf732fd42c9cb70ed520d45092c70b8d73c9551f62681144561828bd64c26""}"
stationary,PASI,604,reset,67361,80000,0.8420125,36532.51866255799,36532.51866255799,0.5423393159626192,0.5423393159626192,1000,0,0,"{""provider_static"": ""742dab0d5aab71f0e6e7b6f03ba048c18df08fc58f56f34cd9013a648ea46209"", ""providers"": ""0ebfa4565a8c7955192c2c40788d1a2eaabc4ec4fc5eb7515079b5fb02cc3c75"", ""tasks"": ""ae1cf732fd42c9cb70ed520d45092c70b8d73c9551f62681144561828bd64c26""}"
stationary,MOI,605,normal,67642,80000,0.845525,39877.12650726279,39896.97789851645,0.5895320438080304,0.5898255211039953,1000,0,0,"{""provider_static"": ""86ac4d81a5e6bff2bf2a0dd89fc60b59b638b04d36adec1d5d395c6db1a4cba8"", ""providers"": ""ea46b86b49aa3c3b9ae584ffe7119feae58dba9ef2ab6584e0d8b94515fc30b9"", ""tasks"": ""f71d3c506301de464aa813469e588a569e889c01674f6201eff9b46690eadac1""}"
stationary,MOI,605,reset,67642,80000,0.845525,39877.12650726279,39896.799545388734,0.5895320438080304,0.5898228843823177,1000,0,0,"{""provider_static"": ""86ac4d81a5e6bff2bf2a0dd89fc60b59b638b04d36adec1d5d395c6db1a4cba8"", ""providers"": ""ea46b86b49aa3c3b9ae584ffe7119feae58dba9ef2ab6584e0d8b94515fc30b9"", ""tasks"": ""f71d3c506301de464aa813469e588a569e889c01674f6201eff9b46690eadac1""}"
stationary,PASI,605,normal,67642,80000,0.845525,33039.905648840795,33039.905648840795,0.4884525243020726,0.4884525243020726,1000,0,0,"{""provider_static"": ""86ac4d81a5e6bff2bf2a0dd89fc60b59b638b04d36adec1d5d395c6db1a4cba8"", ""providers"": ""ea46b86b49aa3c3b9ae584ffe7119feae58dba9ef2ab6584e0d8b94515fc30b9"", ""tasks"": ""f71d3c506301de464aa813469e588a569e889c01674f6201eff9b46690eadac1""}"
stationary,PASI,605,reset,67642,80000,0.845525,33087.126926085024,33087.126926085024,0.48915063017186106,0.48915063017186106,1000,0,0,"{""provider_static"": ""86ac4d81a5e6bff2bf2a0dd89fc60b59b638b04d36adec1d5d395c6db1a4cba8"", ""providers"": ""ea46b86b49aa3c3b9ae584ffe7119feae58dba9ef2ab6584e0d8b94515fc30b9"", ""tasks"": ""f71d3c506301de464aa813469e588a569e889c01674f6201eff9b46690eadac1""}"
stationary,MOI,606,normal,67527,80000,0.8440875,43709.45920470261,43730.03622565542,0.6472886283220431,0.6475933511877534,1000,0,0,"{""provider_static"": ""8065fdc5728c953718f07dcc3af4d8e0bf7b08593dbc56948a252de964f64127"", ""providers"": ""c442425a3b18fd4f0ca4769d1fe7a92f019197a83ac4ce827b1f9380c406a246"", ""tasks"": ""b34ad99e66e6edbdf24f3b770c837f815f89ba4c2dbe3355f401f5a4da9f9ee2""}"
stationary,MOI,606,reset,67527,80000,0.8440875,43709.45920470261,43729.81247105173,0.6472886283220431,0.6475900376301588,1000,0,0,"{""provider_static"": ""8065fdc5728c953718f07dcc3af4d8e0bf7b08593dbc56948a252de964f64127"", ""providers"": ""c442425a3b18fd4f0ca4769d1fe7a92f019197a83ac4ce827b1f9380c406a246"", ""tasks"": ""b34ad99e66e6edbdf24f3b770c837f815f89ba4c2dbe3355f401f5a4da9f9ee2""}"
stationary,PASI,606,normal,67527,80000,0.8440875,37618.654139268394,37618.654139268394,0.557090558432455,0.557090558432455,1000,0,0,"{""provider_static"": ""8065fdc5728c953718f07dcc3af4d8e0bf7b08593dbc56948a252de964f64127"", ""providers"": ""c442425a3b18fd4f0ca4769d1fe7a92f019197a83ac4ce827b1f9380c406a246"", ""tasks"": ""b34ad99e66e6edbdf24f3b770c837f815f89ba4c2dbe3355f401f5a4da9f9ee2""}"
