scenario,phase,mean_H,mean_lambda,design_saving_pct,settlement_saving_pct,coverage_diff_pp
burst,Early,0.8049138586637777,0.8142384567710942,13.939405137555667,13.97377336853749,0.0
burst,Late,0.9745018467854982,0.7957844265253785,16.502231055800536,16.54341522881967,0.0
burst,Middle,0.9737998617822562,0.7952385390138225,16.47826942545044,16.518975523126603,0.0
dynamic,Early,0.8313060147248802,0.8894220131742203,12.389775953348815,12.427747261247788,0.0
dynamic,Late,0.9761284596416784,0.8301655964034527,15.987651347015174,16.027309719808525,0.0
dynamic,Middle,0.9749782078997795,0.8441113785927717,15.399012927326764,15.43982208987838,0.0
stationary,Early,0.8332740173576746,0.9043418303231316,12.688970529437587,12.72582516559703,0.0
stationary,Late,0.9752024324569178,0.8902650177359843,14.68880992053099,14.730185062211326,0.0
stationary,Middle,0.9743636630332124,0.8882954919760847,14.677640310350087,14.718929182297002,0.0
