scenario,method,seed,phase,slot_start,slot_end,mean_selected_H,median_selected_H,mean_selected_lambda,design_reserve,execution_settlement,assigned,tasks,coverage
stationary,MOI,5,Early,1,100,0.833529472896561,0.9337087334827378,0.9740414369729873,3886.224114979083,3887.758172935425,6661,8000,0.832625
stationary,MOI,5,Middle,301,500,0.974711819357383,0.9824318459762784,0.9720397192669151,7954.428041102989,7957.991525753382,13557,16000,0.8473125
stationary,MOI,5,Late,701,1000,0.9755342319134009,0.9825167925074597,0.9796907385044722,12026.277239512467,12031.878803817091,20301,24000,0.845875
stationary,MOI,8,Early,1,100,0.8352031862534239,0.9335142325439933,1.0203934142823583,4347.712527137819,4349.271573211523,6753,8000,0.844125
stationary,MOI,8,Middle,301,500,0.9751301197134,0.9812293436534636,1.0213272823704453,8700.728504896804,8704.490857704452,13538,16000,0.846125
stationary,MOI,8,Late,701,1000,0.9760740198826414,0.9814694522169923,1.0297609060132917,13319.275519754709,13325.399321629448,20397,24000,0.849875
stationary,MOI,7,Early,1,100,0.8304063265364241,0.9294866959085065,1.059222786177258,4531.446559287771,4533.473524940135,6741,8000,0.842625
stationary,MOI,7,Middle,301,500,0.9750999239372489,0.9818282975379051,1.0568221155831197,9033.286257188192,9038.08733190605,13474,16000,0.842125
stationary,MOI,7,Late,701,1000,0.9755031330228545,0.9816735561950303,1.053354265166513,13561.633605870567,13568.703194804559,20267,24000,0.8444583333333333
stationary,PASI,7,Early,1,100,0.830588318036093,0.9294486398248898,0.9534321443343979,3965.324878481693,3965.324878481693,6741,8000,0.842625
stationary,PASI,7,Middle,301,500,0.9749036477269157,0.9831202329849777,0.9330516235158902,7718.227251759683,7718.227251759683,13474,16000,0.842125
stationary,PASI,7,Late,701,1000,0.9755984681069085,0.9823689330618992,0.9308363208745165,11597.506157629785,11597.506157629785,20267,24000,0.8444583333333333
stationary,PASI,8,Early,1,100,0.8353916868627543,0.9335920133563216,0.9169042068424184,3816.964436745197,3816.964436745197,6753,8000,0.844125
stationary,PASI,8,Middle,301,500,0.9741351342750199,0.9845120124440527,0.9009825784877876,7457.045814793131,7457.045814793131,13538,16000,0.846125
stationary,PASI,8,Late,701,1000,0.9754261334526856,0.9845682804582687,0.9099048031027243,11423.601367917394,11423.601367917394,20397,24000,0.849875
stationary,MOI,9,Early,1,100,0.8395731176063298,0.9384404091947467,1.0026649774282335,4267.4582315440275,4269.085432566758,6767,8000,0.845875
stationary,MOI,9,Middle,301,500,0.9746300042866126,0.982163351640098,0.9853738573976588,8451.50459466917,8455.149191512715,13562,16000,0.847625
stationary,MOI,9,Late,701,1000,0.9755974605612012,0.9825001315338863,0.9975052251696952,12931.200933795457,12936.845322357909,20441,24000,0.8517083333333333
stationary,PASI,9,Early,1,100,0.8404331549141257,0.9400718842081659,0.9005131454535762,3723.520344480809,3723.520344480809,6767,8000,0.845875
stationary,PASI,9,Middle,301,500,0.9745727226769855,0.9843451548323101,0.8692333874693892,7229.970415515312,7229.970415515312,13562,16000,0.847625
stationary,PASI,9,Late,701,1000,0.9755720205692368,0.9845170380682744,0.8814615698041507,11069.83140885121,11069.83140885121,20441,24000,0.8517083333333333
stationary,PASI,10,Early,1,100,0.8275697148530539,0.9249971576427831,0.939562404810695,3968.557681586623,3968.557681586623,6744,8000,0.843
stationary,PASI,10,Middle,301,500,0.9728314096146109,0.9840710909849063,0.9160444273757226,7695.017020835038,7695.017020835038,13474,16000,0.842125
stationary,PASI,10,Late,701,1000,0.9736935202064662,0.9839879043693721,0.9165085850433518,11542.335068089104,11542.335068089104,20260,24000,0.8441666666666666
stationary,MOI,10,Early,1,100,0.8274981292083994,0.924326856440542,1.034916903566776,4510.176469445027,4512.264363087984,6744,8000,0.843
stationary,MOI,10,Middle,301,500,0.9734814632356289,0.9788928374018485,1.0279048732650666,8951.781186567603,8956.441250915193,13474,16000,0.842125
stationary,MOI,10,Late,701,1000,0.9742563093491696,0.9795075507980548,1.0279702405813023,13444.74667256228,13451.597398496622,20260,24000,0.8441666666666666
stationary,MOI,11,Early,1,100,0.8283797699610348,0.926876294902331,0.9444452052103883,4275.4558590439665,4277.180773025023,6741,8000,0.842625
stationary,MOI,11,Middle,301,500,0.9745125003836246,0.9824837854319167,0.9550787278691198,8707.000458811028,8710.890751467055,13501,16000,0.8438125
stationary,MOI,11,Late,701,1000,0.974894744951005,0.9818175088489489,0.9413365794478444,12747.760931593362,12753.730459210998,20230,24000,0.8429166666666666
stationary,MOI,12,Early,1,100,0.8295012771786872,0.9270339567406498,0.9722061716809679,4198.964710786081,4201.287718088954,6785,8000,0.848125
stationary,MOI,12,Middle,301,500,0.9734508776789771,0.9802682995890459,0.9705770471920009,8359.303112961941,8364.478164286307,13503,16000,0.8439375
stationary,MOI,12,Late,701,1000,0.9747073634778605,0.9803973157663508,0.9683720621170504,12521.830923898142,12529.555578974494,20334,24000,0.84725
stationary,MOI,13,Early,1,100,0.8356193190078024,0.934689005868675,0.9974705178319797,4396.9046200568555,4398.637047072997,6827,8000,0.853375
stationary,MOI,13,Middle,301,500,0.9754627886769941,0.9832976530106544,1.0057374218295945,8782.493525581569,8786.353954437904,13529,16000,0.8455625
stationary,MOI,13,Late,701,1000,0.9760480215376103,0.982461426293389,0.9985904412178745,13103.517609144765,13109.437274877575,20331,24000,0.847125
stationary,PASI,11,Early,1,100,0.8289161888057965,0.9287774023642714,0.847693677389851,3729.9771679354253,3729.9771679354253,6741,8000,0.842625
stationary,PASI,11,Middle,301,500,0.9744818305705154,0.9850424175241804,0.8416889201057075,7430.216521365921,7430.216521365921,13501,16000,0.8438125
stationary,PASI,11,Late,701,1000,0.9747620683548429,0.9846807516183698,0.827500996187222,10835.069481252958,10835.069481252958,20230,24000,0.8429166666666666
stationary,PASI,12,Early,1,100,0.8282548529799589,0.9247676539701905,0.8677449683026017,3622.9073802154794,3622.9073802154794,6785,8000,0.848125
stationary,PASI,12,Middle,301,500,0.9726517418501722,0.9823796858814217,0.8504658876961417,7047.979260553542,7047.979260553542,13503,16000,0.8439375
stationary,PASI,12,Late,701,1000,0.9736185902761072,0.9826369693685078,0.846967796714378,10538.910320847883,10538.910320847883,20334,24000,0.84725
